material_id,composition,G_vrh
mp-473,Na12 P44,6.665
mp-2774343,Na3 Be1,4.861
mp-558432,Na24 P8 S16 O16,14.486
mp-2639,Na3 N1,11.725
mp-999495,Na3 N1,6.252
mp-779545,Na6 Cu2 O4,16.37
mp-542136,Na6 P2 S2 O6,22.051
mp-974270,Na3 Al1,4.102
mp-28630,Na12 B4 N8,24.856
mp-8703,Na3 Sb1 Se4,5.501
mp-8860,Na3 As1,11.722
mp-864758,Na3 In1,5.917
mp-982595,Na3 Re1,3.286
mp-982637,Na3 Mg1,4.612
mp-5122,Na6 Al2 P4,15.648
mp-864745,Na3 Zr1 F8,16.564
mp-28782,Na6 P2 S8,10.928
mp-1186018,Na3 Au1,6.198
mp-1029595,Na12 Os4 N8,20.467
mp-982981,Na6 Rh2,9.445
mp-982873,Na3 Tl1,3.209
mp-1598,Na6 P2,14.892
mp-3527,Na6 Ag2 O4,27.831
mp-27579,Na16 P8 O28,24.379
mp-22937,Na4 I2 O1,11.964
mp-28591,Na4 Hg1 P2,12.461
mp-542090,Na8 Al6 Si6 O24,28.081
mp-551886,Na4 C1 O4,11.846
mp-8752,Na4 Cd1 P2,12.6
mp-555678,Na4 Ti5 O12,60.956
mp-28698,Na4 Ir1 O4,21.927
mp-760492,Na4 Pt1 O4,30.888
mp-28599,Na4 Br2 O1,14.596
mp-568866,Na6 Zn1 Sn2,9.403
mp-778364,Na12 Ti4 O14,25.335
mp-3138,Na16 Sn2 Sb8,8.832
mp-28017,Na16 Ti10 O28,43.59
mp-8253,Na5 Re1 O6,37.483
mp-20067,Na5 Os1 O6,37.641
mp-29308,Na5 Co2 S5,14.373
mp-5929,Na20 Si4 P12,16.822
mp-1029574,Na10 Os2 N8,14.17
mp-760400,Na5 Bi1 O5,38.102
mp-11147,Na5 Cu1 S1 O2,18.576
mp-1029542,Na12 Mo2 N8,37.513
mp-8389,Na12 Zn2 S8,14.354
mp-1029656,Na12 W2 N8,38.074
mp-2861134,K1 Mg6 Zr1,17.592
mp-6178,Cs2 K1 Ti1 F6,-23.193
mp-962072,K1 Y1 Sn1,8.847
mp-3982,K2 Cu2 O4,17.182
mp-961648,K1 Ba1 P1,-12.045
mp-1029347,K2 Pt2 N2,33.563
mp-7438,K2 Zn2 Sb2,17.165
mp-546633,K1 Cl1 O4,7.16
mp-1021327,K1 Li1 I1 Cl1,8.606
mp-7077,K2 Au2 S2,6.053
mp-1029404,K2 Ge4 N6,78.625
mp-23959,K2 P2 H4 O8,16.417
mp-35035,K1 C1 N1,7.891
mp-7938,K2 Nb2 S4,46.405
mp-3827,K2 Fe2 S4,9.027
mp-6179,K2 Li2 S2 O8,20.883
mp-974061,K1 Si1 O3,117.855
mp-21847,K2 Mn2 As2,10.135
mp-5347,K1 Al1 F4,14.059
mp-8608,K1 Cu4 As2,20.635
mp-10102,K1 Ag1 C2,14.306
mp-1184755,K2,1.623
mp-16293,K4 Sb4 O12,73.035
mp-4495,K2 Li2 Te2,11.932
mp-1018031,K1 In1 O2,43.643
mp-30533,K2 Pt4 S6,13.097
mp-863707,K1 Na2 Bi1,10.679
mp-568747,K1 Ni2 Se2,17.982
mp-604318,K4,1.596
mp-4233,K2 Mn2 Sb2,12.876
mp-631473,K1 Ti2 Bi1,23.084
mp-976271,K1 Ti2 F7,38.463
mp-7621,K2 Tc2 O8,10.609
mp-6968,Cs2 K1 Cu1 F6,16.596
mp-973471,K1 Re1 O3,119.458
mp-974827,K1 Pr3,6.489
mp-24428,K2 H4 N2,10.617
mp-10175,K1 Cd1 F3,21.121
mp-1002081,K1 Na1 I1 Cl1,8.011
mp-7375,K1 Nb1 O3,30.726
mp-34857,K1 N1 O2,8.844
mp-6867,K1 Ca1 C1 O3 F1,29.357
mp-696752,K2 P2 H4 O8,10.626
mp-560767,K2 Na2 Ti2 O6,27.905
mp-463,K1 F1,16.899
mp-1866,K1 O2,9.593
mp-8175,K1 Tl1 O2,27.414
mp-669347,K2 Cu2 F6,33.758
mp-40143,Cs2 K1 Zr1 O1 F5,16.081
mp-10157,K1,1.235
mp-768864,K2 Nd2 O4,37.8
mp-643989,K2 H2 C2 O4,10.788
mp-5158,K4 N4 O12,8.418
mp-23289,K1 Cl1,8.644
mp-7437,K2 Zn2 P2,26.245
mp-4608,K1 P1 F6,7.181
mp-24084,K1 H1,10.516
mp-754158,K1 Nd1 O2,38.368
mp-631254,K1 Mn1 Ru1,-20.232
mp-773137,K2 Ca2 Bi2,8.723
mp-16236,K2 Ag2 Se2,13.172
mp-571263,K1 In9 Co2,29.539
mp-23526,K4 Cl4 O16,8.709
mp-982040,K1 Bi1 O3,65.445
mp-631322,K1 Sn1 Os1,15.074
mp-558518,K1 Ni2 S2,22.279
mp-567657,K1 Cu2 Se2,13.033
mp-973396,K1 Be1 O3,27.945
mp-22898,K1 I1,5.635
mp-4126,K1 U1 O3,67.688
mp-631296,K1 Hf1 Ni1,-234.104
mp-1021848,K1 Mg6 V1,15.503
mp-4668,K1 Co2 Se2,24.198
mp-4519,K1 Pr1 O2,36.621
mp-8267,K2 P2 S6,4.41
mp-23251,K1 Br1,7.473
mp-9349,K1 Rb2 Sc1 F6,13.221
mp-10417,K2 Sb2 O4,16.167
mp-28270,K4 Cu4 S4,5.768
mp-631345,K1 Zr2 Nb1,-9.647
mp-631318,K1 Si1 Tc2,-121.271
mp-982885,K1 Ca1 O3,3.548
mp-634431,K4 H4 C4 O12,11.61
mp-631274,K1 Fe1 P1,-39.447
mp-634676,K2 H2 S2,8.001
mp-19851,K2 In2 Te4,9.325
mp-631536,K1 B1 Ir2,27.99
mp-1019089,K2 Mg2 As2,18.243
mp-12015,K1 Ag2 As1 O4,19.499
mp-1017580,K1 Mg1 H3,-18.751
mp-989580,Cs2 K1 N1 F6,17.281
mp-29374,K4 Ga4 Sb16,13.849
mp-3614,K1 Ta1 O3,122.495
mp-982195,K1 Nd3,7.949
mp-30717,K2 Hg4,4.929
mp-2464440,K1 Ag1 Cl3,11.58
mp-6074,K1 Rb2 Ti1 F6,22.332
mp-973267,K1 Tc1 O3,111.434
mp-631314,K1 Ta1 Pt1,-22.546
mp-7622,K2 S2 O8,11.3
mp-12079,K1 Co2 S2,30.734
mp-1007637,K1 Na1 H2,13.115
mp-31368,K2 Cl2 O4,7.959
mp-973250,K1 La3,6.112
mp-755480,K2 Rb2 O2,5.392
mp-1018051,K1 Ti1 S2,33.931
mp-8409,K1 Y1 O2,46.437
mp-8454,K1 F1,14.164
mp-998913,K1 O3,5.756
mp-2828744,K1 Hf1 Mg6,17.306
mp-23193,K1 Cl1,9.177
mp-6870,K1 Be2 B1 O3 F2,34.42
mp-866169,K1 Tl2 Bi1,5.834
mp-7089,K2 Mg2 Sb2,14.48
mp-863710,K1 Ac1 Te2,18.514
mp-631525,K1 Hg2 B1,-237.864
mp-9318,K2 Zr2 Cu2 Se6,18.801
mp-11132,K2 Pr2 Te8,14.025
mp-569857,K8 P12,9.422
mp-6494,K2 Ca1 C2 O6,21.788
mp-8724,K4 Te2 O6,14.44
mp-863757,K4 Sb2 Au2,8.023
mp-9778,K4 Ag2 P2,11.106
mp-8700,K2 Au3,14.542
mp-10662,K4 C2 O6,-7.663
mp-7502,K2 Sn2 O3,16.772
mp-27839,K2 Ti1 Cl6,5.72
mp-8187,K4 Zn2 O4,9.082
mp-6686,K2 Na1 In1 F6,20.537
mp-3963,K8 C4 O12,12.321
mp-8262,K4 P6,9.501
mp-13797,K2 Na1 Cu1 F6,24.134
mp-8415,K2 Hf1 F6,25.252
mp-27138,K2 Pd1 Br4,5.644
mp-23956,K2 Mg1 H4,17.351
mp-7824,K2 Re1 F6,10.888
mp-7667,K4 S6,9.043
mp-9672,K4 Ni2 P4,13.474
mp-27243,K2 Pt1 Br4,5.618
mp-1022,K2 S1,9.782
mp-13798,K2 Na1 Tl1 F6,18.04
mp-31212,K2 Mg1 F4,26.717
mp-8621,K2 Pt1 Se2,14.58
mp-27304,K2 Mn1 Cl6,6.094
mp-643257,K2 H4 Pd1,8.069
mp-867920,K2 Rh2 O5,47.77
mp-8623,K2 Te2 Pt1,10.459
mp-14039,K2 Na1 Rh1 F6,22.615
mp-3970,K2 Ti1 F6,12.002
mp-27691,K2 Pt1 Br6,5.95
mp-8446,K4 Cu2 P2,10.978
mp-7643,K4 Ag2 Sb2,9.354
mp-1025158,K2 Pu1 O4,28.851
mp-3042,K2 Si1 F6,10.152
mp-15684,K4 Cu2 As2,9.944
mp-20623,K4 Cd2 C8 N8,5.221
mp-571440,K8 Cu4 Br12,7.497
mp-8891,K2 Zr1 B2 O6,34.028
mp-13190,K1 Rb2 Ga1 F6,15.358
mp-8756,K2 Li2 Se2,15.306
mp-12414,K1 U2 Se6,22.025
mp-22901,K1 I1,5.209
mp-15687,K1 Zn1 As1,20.548
mp-571124,Cs2 K1 Sc1 Cl6,7.863
mp-7569,K1 As1 F6,6.563
mp-23846,K2 H2 F4,13.538
mp-7911,K4 Cu4 O4,14.741
mp-15724,K1 Na2 Sb1,12.629
mp-4950,K1 Ca1 F3,25.296
mp-549490,K1 Nb4 O5 F1,85.723
mp-7959,K1 Er1 O2,49.484
mp-12532,K1 Ag2 P1 S4,13.319
mp-1076,K1 B6,97.556
mp-22958,K1 Br1 O3,10.994
mp-1019105,K2 Mg2 Bi2,12.079
mp-6847,K1 Y2 Ti2 S2 O5,31.84
mp-35276,K1 Fe2 As2,24.423
mp-10092,K1 Cu4 Se3,14.519
mp-29138,K2 Au2 Se4,8.939
mp-10161,K1 Zn1 Sb1,15.515
mp-827,K2 N6,11.746
mp-568428,K1 Na1 B2 H8,8.573
mp-3553,K2 Te2 Au2,13.392
mp-27418,K1 Au1 O2,18.352
mp-3448,K1 Mg1 F3,43.567
mp-27677,K1 Cu4 S3,18.881
mp-5246,K1 Nb1 O3,50.363
mp-559612,K4 Li4 O4,20.733
mp-5566,K2 Cu2 F6,30.35
mp-1021423,K1 Mg6 Ti1,21.953
mp-7483,K4 Hg4 F12,12.972
mp-4342,K1 Nb1 O3,60.647
mp-570303,K2 Tm2 I6,7.948
mp-556609,K2 Sb2 P4 S12,6.848
mp-569886,K1 In9 Ni2,20.557
mp-1018652,K2 Cd2 Sb2,8.899
mp-7387,K2 Ag2 F8,10.958
mp-40204,K1 Zr1 Tl2 O1 F5,7.198
mp-631464,K1 Be1 Pt1,-104.989
mp-8188,K1 Sc1 O2,57.465
mp-760376,K1 Ti1 O3,24.293
mp-9884,K2 Fe2 Se4,7.483
mp-5878,K1 Zn1 F3,33.286
mp-962073,K1 Ba1 Sn1,11.023
mp-935811,K1 Nb1 O3,109.553
mp-2910,K2 Al2 F8,19.31
mp-2789384,K1 Mg6 Nb1,18.969
mp-981313,K1 Tb1 O3,2.471
mp-10165,K2 Al2 Te4,10.999
mp-1002083,Cs1 K1 I1 Cl1,5.533
mp-7940,K2 Nb2 Se4,37.527
mp-989585,Cs2 K1 Pb1 F6,13.579
mp-7421,K2 Zn2 As2,21.894
mp-1009048,K1 Ag1 O1,64.93
mp-1018072,K1 Ti1 S2,33.145
mp-984357,Cs1 K1 O3,33.016
mp-882700,K2 Ti2 F8,13.954
mp-27865,K4 Mg4 Cl12,15.706
mp-12098,K1 P2 Rh2,32.9
mp-973830,K1 Er1 O3,3.327
mp-6812,K4 Ba4 P4 O16,26.743
mp-9490,K1 Ag2 Sb1 S4,10.721
mp-753774,K1 Tm1 O2,50.551
mp-9061,K1 Pd1 F3,19.737
mp-974842,K1 Pt1 O3,51.104
mp-6560,K2 S2 O4 F2,8.399
mp-569408,K1 Co2 As2,28.456
mp-631329,K1 Mo1 Ru2,48.436
mp-15781,K1 La1 S2,20.828
mp-1021424,K1 Mg6 Mo1,21.388
mp-7436,K2 Cu2 Te2,17.875
mp-4026,K1 Cr1 S2,34.149
mp-631408,K1 Si2 Hg1,-13.397
mp-23737,K1 Mg1 H3,31.061
mp-14796,K2 Pt4 Se6,11.179
mp-7420,K2 Hg2 As2,14.645
mp-8013,K1 Ru1 F6,4.906
mp-570891,K1 Br1,7.04
mp-1023129,K1 Cu1 Cl3,17.3
mp-15783,K1 Sm1 S2,25.094
mp-9881,K2 Au2 Se2,5.715
mp-5309,K2 Au2 F8,10.288
mp-23562,K2 I2 O8,10.494
mp-989529,K1 Rb2 In1 Cl6,-18.145
mp-754883,K1 Ho1 O2,47.939
mp-551092,K2 Li2 Zn2 O4,29.535
mp-636056,K2 N6,4.685
mp-1029444,K4 Co4 N4,33.031
mp-974738,K1 Sr3,4.846
mp-7435,K2 Cu2 Se2,21.711
mp-23487,K4 I4 O12,14.11
mp-20422,K2 Mn2 P2,9.709
mp-626785,K2 H2 O2,17.006
mp-555576,K2 Na2 S4 O14,12.267
mp-556084,K4 Cl4 O12,8.247
mp-3486,K2 Sn2 Sb2,13.626
mp-10423,K1 Au1 C2,17.635
mp-1029336,K4 Zn4 N4,12.387
mp-9583,K2 Zn1 F4,20.696
mp-9486,K2 Al1 F5,13.57
mp-22956,K2 Pd1 Cl4,6.796
mp-14168,K4 Ge2 F12,11.68
mp-540584,K2 Pd1 O2,17.436
mp-1023132,K4 Cu2 Cl4 F4,10.273
mp-504935,K8 Pb4 O12,19.096
mp-22756,K4 Pb2 O6,17.293
mp-4731,K2 U1 F6,21.626
mp-9839,K2 Li1 Al1 F6,25.226
mp-10408,K2 C1 N2,14.596
mp-23036,K2 Se1 Br6,5.006
mp-9068,K4 Na2 Al2 P4,16.531
mp-5699,K2 Cu1 F4,18.902
mp-23513,K2 Pt1 Cl6,6.625
mp-6058,K2 Na1 Sc1 F6,23.479
mp-569149,K2 Te1 Cl6,5.438
mp-568914,K2 W1 Cl6,5.031
mp-8414,K2 Hf1 F6,6.037
mp-643279,K2 H6 Pt1,9.309
mp-2672,K4 O4,16.455
mp-1747,K2 Te1,7.26
mp-568333,K2 Sn1 Br6,4.995
mp-23505,K2 Te1 Br6,4.976
mp-28163,K2 Pd1 F4,9.85
mp-22947,K2 Re1 Cl6,6.545
mp-4529,K8 S4 O16,16.186
mp-13799,K2 Na1 Y1 F6,19.851
mp-10381,K4 Cu2 Sb2,8.653
mp-989587,K2 S1 Br1 Cl6,-4.917
mp-3808,K2 U1 O4,29.379
mp-9069,K4 Na2 Al2 As4,14.515
mp-695998,K8 Zn4 H16,11.148
mp-23067,K2 Pd1 Cl6,6.418
mp-27835,K2 Os1 Br6,5.247
mp-6586,K2 Na1 Al1 F6,27.366
mp-1021516,K2 Sn1,3.639
mp-22934,K2 Pt1 Cl4,6.669
mp-8426,K2 Se1,8.676
mp-7928,K2 Pt1 S2,17.968
mp-4264,K4 S4 O10,10.521
mp-863759,Cs1 K2 Bi1,6.637
mp-27207,K2 Mg1 Cl4,10.672
mp-23021,K2 Re1 Br6,5.229
mp-3821,K2 Pt1 F6,10.53
mp-571594,K6 Ag2 Sn6 Se16,7.569
mp-982665,K3 In1,3.261
mp-973627,K3 Sr1,1.341
mp-14018,K6 As2,5.999
mp-568516,K3 Bi1,5.881
mp-1029756,K12 B4 N8,12.232
mp-28980,K12 Bi4 Se12,7.072
mp-7439,K3 Cu3 P2,10.614
mp-11801,K6 N2,1.43
mp-571461,K4 Zn1 As2,7.556
mp-29584,K4 Be1 As2,8.037
mp-768368,K4 I2 O1,7.139
mp-11719,K4 Zn1 P2,8.485
mp-28302,K4 Cd1 P2,7.963
mp-29484,K4 Hg1 As2,7.232
mp-8753,K4 Hg1 P2,8.277
mp-29585,K4 Cd1 As2,7.057
mp-551736,K4 C1 O4,0.411
mp-28627,K4 Br2 O1,8.724
mp-9872,K4 Be1 P2,8.524
mp-8624,K4 Sn4 O6,15.91
mp-31363,K2 Ta1 Cl6,4.805
mp-7979,K2 Pd1 F6,9.335
mp-581024,Cs1 K2 Sb1,7.769
mp-9687,K4 P2 Au2,9.22
mp-27632,K2 Tc1 Cl6,5.731
mp-971,K4 O2,12.49
mp-23499,K2 Sn1 Cl6,5.661
mp-28166,K3 Br1 O1,12.792
mp-10159,K3 Sb1,6.582
mp-973554,K3 Sm1,12.973
mp-28273,K24 Cu8 O16,13.205
mp-1184863,K3 Mo1,2.555
mp-690789,K3 Re1 H6,8.757
mp-983388,K3 Hg1,0.904
mp-684709,K6 B34,68.913
mp-974641,K3 Tl1,0.352
mp-9200,K3 Au1 O1,11.654
mp-28171,K3 I1 O1,12.762
mp-973446,K3 W1,2.93
mp-973614,K3 Sn1,2.325
mp-29379,K12 Bi4 Te12,4.756
mp-973528,K3 Si1,0.64
mp-14205,K3 Cu3 As2,10.21
mp-9665,K6 B2 As4,7.368
mp-557753,K12 P4 O16,19.669
mp-974627,K3 Tl1,2.908
mp-982780,K3 Cd1,2.625
mp-973622,K3 Sr1,1.584
mp-973271,K3 Y1,-10.74
mp-973265,K3 Zr1,2.439
mp-973535,K3 Sc1,1.21
mp-982664,K3 In1,3.082
mp-7897,K6 P2,6.039
mp-23697,K3 Al1 H6,-53.67
mp-9664,K6 B2 P4,8.013
