material_id,composition,G_vrh
mp-961723,Li1 Ca1 Rh1,8.295
mp-8452,Na2 Li2 S2,23.768
mp-861881,Li1 Ge1 Au2,17.072
mp-754344,Li1 Zn1 O2,45.232
mp-867744,Li1 Ti3 O4,81.153
mp-9719,Na8 Li4 Al4 P8,27.656
mp-7298,Li1 Cu2 P2,37.221
mp-631334,Li1 Tc2 Pd1,-11.236
mp-2479693,Li3 Ca3 Sn3,26.704
mp-1021323,Li1 C12,106.231
mp-756094,Li1 Fe1 S2,31.867
mp-861736,Li1 Sb1 Pd2,33.967
mp-13288,Ba6 Li2 N2,0.547
mp-862297,Li1 Al1 Rh2,66.739
mp-973824,Li1 Hg3,18.474
mp-35717,Li2 Dy2 Se4,30.614
mp-973940,Li1 Cd3,5.772
mp-865812,Li1 Sm1 Hg2,10.941
mp-974060,Li1 Dy3,-5.24
mp-36111,Li1 Mg1 P1,43.198
mp-864755,Li1 Ac1 Te2,-4.408
mp-11390,Li1 Ga1 Si1,46.327
mp-972285,Sr3 Li1,8.744
mp-1008911,Li1 Mn1 As1,33.252
mp-996988,Li1 Ag1 O2,6.182
mp-2659898,Li2 B2 H8,10.774
mp-632808,Ba1 Li1 H3,6.439
mp-3731,Li8 Nb8 O24,49.129
mp-23259,Li1 Br1,16.321
mp-865868,Li1 Zr1 Rh2,45.895
mp-975906,Li1 Al3,39.623
mp-862335,Li1 As1 Rh2,59.369
mp-631339,Na2 Li1 Ta1,5.998
mp-973613,Li1 Ce1 O3,17.775
mp-20265,Li1 In2 Pt1,28.966
mp-10173,Li2,7.956
mp-1008925,Li1 Fe1 P1,71.498
mp-8001,Li1 Al1 O2,96.813
mp-974938,Rb3 Li1,1.539
mp-1029338,Li2 V4 N6,66.596
mp-25417,Li1 Ti1 O2,77.858
mp-7554,Li1 Mg1 Sn1 Au1,16.802
mp-541365,Li1 Eu1 H3,49.922
mp-559612,K4 Li4 O4,20.733
mp-977561,Li1 Ta1 Ir2,100.908
mp-975909,Li1 Au3,31.714
mp-753506,Li1 Bi1 S2,36.004
mp-11977,Li2 Sn2 Au2,14.507
mp-20998,Li3 Ca3 Pb3,24.614
mp-8002,Li1 Ga1 O2,71.709
mp-30817,Li1 Al2 Pd1,56.274
mp-758302,Li2 Ag2 F4,112.431
mp-755253,Li2 Zr2 O4,100.522
mp-864762,Li1 Mg2 Zn1,26.795
mp-861616,Li1 Sc2 Ir1,38.644
mp-8481,Li3 Pr3 Ge3,37.085
mp-867267,Li1 Ho2 Pt1,31.91
mp-976259,Li1 Tm1 Rh2,38.993
mp-861913,Li1 Dy2 Al1,31.25
mp-962069,Li1 Ag1 Te1,-1.732
mp-862842,Li1 Pm2 Pt1,20.936
mp-8873,Li1 Ge1 B1 O4,60.304
mp-861896,Li1 Hg2 Pd1,11.597
mp-864614,Li1 Mg2 Pt1,34.393
mp-2468774,Li4 Cu4 S4,30.22
mp-36791,Li2 Nd2 S4,29.894
mp-861666,Li1 Ru2 W1,82.095
mp-766486,Li2 Cu2 S4,21.639
mp-13277,Ba2 Li2 P2,29.534
mp-13916,Li4 Ca4 Si8,36.127
mp-1029932,Li4 V4 N8,46.341
mp-861625,Li1 Zn1 Ag2,15.67
mp-867211,Li1 Ca2 In1,18.813
mp-12716,Li1 Tl1 Pd2,36.325
mp-753722,Li1 Cu1 S2,16.147
mp-864631,Li1 Nb1 Rh2,56.338
mp-989579,Rb2 Li1 Tl1 Cl6,10.376
mp-862677,Li1 Ho1 Tl2,19.632
mp-989504,Na2 Li1 N1 F6,30.306
mp-976291,Li2 Al2 H8,16.29
mp-753541,Li2 Cu2 F8,12.424
mp-1029395,Li2 Cr2 N4,47.814
mp-9562,Li2 Be2 As2,35.547
mp-753605,Li4 Cu4 S4,16.527
mp-569331,Li2 Sn12 Pd4,17.812
mp-973874,Li1 La2 Al1,21.112
mp-867927,Li1 V1 Ir2,108.216
mp-754537,Li1 Lu1 O2,46.12
mp-861956,Li1 Pm2 Ir1,28.359
mp-973561,Li1 Ce2 Ru1,6.7
mp-961684,Li1 Ca1 As1,17.972
mp-865116,Li1 Sm1 Tl2,15.962
mp-30821,Li1 Al2 Rh1,55.198
mp-982974,Li1 Be1 Au2,34.74
mp-861624,Li1 La1 Hg2,9.091
mp-862296,Li1 Al1 Pt2,104.435
mp-867834,Li1 Hf1 Pt2,23.595
mp-976424,Li1 La3,10.268
mp-865939,Li1 Mg2,19.141
mp-976280,Li2 Br2,8.428
mp-2365577,Li2 Ni2 S4,34.235
mp-755000,Li2 Ti2 O4,57.795
mp-13914,Li1 Co2 Ge1,97.165
mp-27227,Li2 Ag6 O4,19.457
mp-867313,Li1 Tm1 Pt2,37.47
mp-1018786,Li2 Mn2 Sb2,14.417
mp-862377,Li1 Be2 Ir1,64.707
mp-631330,Li1 Ta1 W2,-47.706
mp-11512,Li1 Al2 Ir1,52.607
mp-29520,Li2 Au2 I8,3.8
mp-864784,Li1 Sn1 Rh2,67.926
mp-758741,Li1 Fe2 P2,66.399
mp-12564,Li1 Sb1 Au1,8.279
mp-867206,Li1 Cd2 Pt1,23.689
mp-861900,Li1 Ga1 Au2,26.976
mp-865936,Li1 Sc2 Tc1,32.676
mp-1001786,Li1 Sc1 S2,32.783
mp-13444,Li6 Sn6,17.536
mp-5048,Li2 Ga2 Te4,13.673
mp-867119,Li1 Hf1 Pd2,19.867
mp-862555,Li1 Y2 Al1,33.33
mp-975990,Na1 Li1 O3,13.061
mp-862774,Li1 In1 Pt2,129.985
mp-867364,Li1 Tm1 Pd2,-4.548
mp-867258,Li1 Zn1 Pd2,50.885
mp-862684,Li1 Hf2 Os1,59.172
mp-867148,Li1 Hf1 Rh2,55.025
mp-9615,Li1 Ti1 S2,48.553
mp-8754,Na4 Li4 Te4,15.62
mp-1029294,Li2 Sn4 N6,48.959
mp-23856,Li2 H2 O2,10.119
mp-9472,Li1 Ag2 Ge1,17.417
mp-861932,Li1 Zn1 Au2,0.923
mp-867924,Li1 Cd1 Pd2,30.879
mp-863659,Li1 Sc1 Hg2,15.302
mp-604313,Li4,-13.034
mp-22905,Li1 Cl1,20.781
mp-567097,Li1 Cu2 Ge1,36.738
mp-861629,Li1 Mn1 Pd2,43.455
mp-753848,Li2 Cu6 O6,41.778
mp-753371,Li4 Cu4 S4,8.094
mp-996992,Li1 Ag1 O2,27.457
mp-861661,Li1 Pr2 Ru1,22.364
mp-2659,Li1 N3,18.796
mp-23702,Li4 H8 N4,21.892
mp-1029424,Li2 Ti4 N6,71.603
mp-3348,Li4 B4 Ir4,69.518
mp-976260,Li1 Tm2 Au1,35.495
mp-853967,Li4 Cu4 S4,15.398
mp-795,Li8 Si8,36.261
mp-3700,Li2 Y2 F8,31.762
mp-753326,Li1 Ag2 F6,17.197
mp-989405,Cs2 Li1 In1 Br6,8.914
mp-7555,Li1 Mg1 Sn1 Pd1,33.072
mp-973455,Li2 Mg4,23.398
mp-675334,Li1 Ti2 O4,114.219
mp-9588,Li8 P8,26.861
mp-1067,Li2 Al2,32.432
mp-975044,Li2 Si4 Rh4,68.685
mp-867197,Li1 Ga1 Ni2,-16.545
mp-976411,Li4,6.849
mp-862613,Li1 Ac2 Ga1,19.764
