material_id,formula_pretty,composition,K_vrh,G_vrh
mp-15901,Li2LaTa2O7,Li2 La1 Ta2 O7,107.176,69.73
mp-1029385,Li2SnN2,Li2 Sn1 N2,112.952,85.985
mp-30406,Li2TlAu,Li2 Tl1 Au1,45.771,8.488
mp-2988,Li2GaRh,Li2 Ga1 Rh1,81.563,35.873
mp-3216,Li2ZrN2,Li2 Zr1 N2,132.436,113.262
mp-976114,Li2CdHg,Li2 Cd1 Hg1,30.724,12.342
mp-865965,Li2CaSi,Li2 Ca1 Si1,40.875,29.73
mp-29210,Li2Ga,Li4 Ga2,33.134,27.31
mp-866196,Li2PrIn,Li2 Pr1 In1,38.333,27.925
mp-11644,Li2Ca,Li4 Ca2,16.117,8.546
mp-15686,Li2CuAs,Li4 Cu2 As2,51.282,37.96
mp-9610,Li2CN2,Li2 C1 N2,49.164,19.417
mp-865713,Li2TlBi,Li2 Tl1 Bi1,30.009,22.827
mp-31168,Li2AlAg,Li2 Al1 Ag1,50.135,25.281
mp-756597,Li2HfO3,Li4 Hf2 O6,95.328,52.736
mp-21026,Li2InPt,Li2 In1 Pt1,71.969,18.408
mp-866176,Li2PdAu,Li2 Pd1 Au1,68.175,23.405
mp-865867,Li2YTl,Li2 Y1 Tl1,41.319,32.362
mp-30392,Li2InAu,Li2 In1 Au1,53.673,16.653
mp-865582,Li2CdPd,Li2 Cd1 Pd1,50.434,7.951
mp-1020019,Li2PNO2,Li4 P2 N2 O4,87.664,60.241
mp-20106,Li2NdSb2,Li4 Nd2 Sb4,41.162,21.469
mp-3158,Li2SbPt,Li2 Sb1 Pt1,79.179,28.96
mp-866202,Li2SnPt,Li2 Sn1 Pt1,67.708,29.364
mp-1125,Li2S,Li8 S4,40.216,20.471
mp-22446,Li2PrSb2,Li4 Pr2 Sb4,41.299,21.813
mp-4117,Li2Si2O5,Li4 Si4 O10,78.037,49.052
mp-861184,Li2WS4,Li2 W1 S4,4.842,2.584
mp-862930,Li2PmIn,Li2 Pm1 In1,38.084,30.714
mp-977207,Li2Mg,Li4 Mg2,20.429,3.332
mp-556777,Li2CO3,Li4 C2 O6,75.034,40.321
mp-10180,Li2SbPd,Li2 Sb1 Pd1,68.437,27.178
mp-753195,Li2WS4,Li2 W1 S4,6.489,4.129
mp-755352,Li2HfO3,Li4 Hf2 O6,106.444,66.947
mp-2724101,Li2HfO3,Li2 Hf1 O3,124.693,45.772
mp-1153,Li2S,Li2 S1,40.49,33.875
mp-36864,Li2TiO3,Li4 Ti2 O6,122.947,87.311
mp-865986,Li2CaGe,Li2 Ca1 Ge1,37.315,26.755
mp-12128,Li2MgIn,Li2 Mg1 In1,29.856,20.946
mp-865935,Li2MgSn,Li2 Mg1 Sn1,34.883,21.546
mp-865863,Li2TlPd,Li2 Tl1 Pd1,48.609,13.18
mp-30344,Li2InAg,Li2 In1 Ag1,43.023,15.372
mp-865714,Li2HgAu,Li2 Hg1 Au1,40.536,7.09
mp-841,Li2O2,Li4 O4,72.65,50.633
mp-29009,Li2MgBr4,Li2 Mg1 Br4,19.912,12.262
mp-16271,Li2CdSb,Li2 Cd1 Sb1,36.538,0.834
mp-2931,Li2TiO3,Li8 Ti4 O12,110.301,71.679
mp-865987,Li2AgPd,Li2 Ag1 Pd1,56.116,10.22
mp-3201,Li2GaPd,Li2 Ga1 Pd1,67.604,26.29
mp-865879,Li2AgAu,Li2 Ag1 Au1,49.503,17.539
mp-865731,Li2HgPd,Li2 Hg1 Pd1,52.245,13.98
mp-30349,Li2AgPb,Li2 Ag1 Pb1,39.481,13.522
mp-12580,Li2CdSn,Li2 Cd1 Sn1,35.899,23.104
mp-867171,SrLi2Sn,Sr1 Li2 Sn1,30.554,21.366
mp-752843,Li2CuF4,Li2 Cu1 F4,42.328,15.213
mp-983425,Li2PmGe,Li2 Pm1 Ge1,50.35,26.433
mp-756187,Li2FeS2,Li4 Fe2 S4,29.394,13.543
mp-866193,Li2LaIn,Li2 La1 In1,37.747,26.277
mp-976843,Li2Mg,Li4 Mg2,20.847,15.238
mp-865897,Li2AcIn,Li2 Ac1 In1,35.03,19.316
mp-862948,Li2PmPb,Li2 Pm1 Pb1,40.01,24.17
mp-2356674,Li2NbF6,Li2 Nb1 F6,58.448,128.338
mp-11490,Li2ZnSn,Li2 Zn1 Sn1,37.548,27.734
mp-5077,NaLi2Sb,Na1 Li2 Sb1,29.136,22.606
mp-884085,Li2CuS2,Li4 Cu2 S4,21.596,10.234
mp-4711,Li2CuO2,Li2 Cu1 O2,84.8,43.976
mp-3054,Li2CO3,Li4 C2 O6,53.936,28.12
mp-31496,Li2Sn2Au,Li4 Sn4 Au2,47.106,21.387
mp-644389,Li2H2Pd,Li2 H2 Pd1,42.316,29.177
mp-21029,Li2InPd,Li2 In1 Pd1,59.663,17.086
mp-631316,Li2GaSb,Li2 Ga1 Sb1,35.3,32.36
mp-865964,Li2CaSn,Li2 Ca1 Sn1,34.099,27.664
mp-22980,Li2CoCl4,Li2 Co1 Cl4,8.956,1.69
mp-754534,Li2CeO3,Li2 Ce1 O3,95.497,38.795
mp-1001914,Li2SnIr,Li2 Sn1 Ir1,85.092,24.121
mp-7777,Li2PrP2,Li2 Pr1 P2,49.171,23.079
mp-15885,Li2US3,Li4 U2 S6,42.596,25.019
mp-12029,Li2CuP,Li4 Cu2 P2,58.571,47.499
mp-4156,Li2ZrO3,Li4 Zr2 O6,100.625,55.316
mp-760539,Li2Ti3O6,Li2 Ti3 O6,106.055,61.957
mp-30405,Li2SnAu,Li2 Sn1 Au1,55.812,21.316
mp-606604,CsLi2F3,Cs1 Li2 F3,43.461,18.167
mp-570950,NaLi2N,Na1 Li2 N1,13.822,13.772
mp-30381,Li2GaAu,Li2 Ga1 Au1,59.891,25.706
mp-7603,Li2TiF6,Li4 Ti2 F12,52.093,30.935
mp-2492941,Li2NbS3,Li4 Nb2 S6,52.707,32.578
mp-973325,Li2MgGe,Li2 Mg1 Ge1,38.78,25.839
mp-10686,Li2CdGe,Li2 Cd1 Ge1,40.135,20.058
mp-865932,Li2CePb,Li2 Ce1 Pb1,46.894,33.556
mp-11304,Li2CdPb,Li2 Cd1 Pb1,32.005,11.955
mp-754238,Li2CuBiO4,Li2 Cu1 Bi1 O4,90.724,55.545
mp-1018009,Li2MgSi,Li2 Mg1 Si1,44.934,36.356
mp-7608,Li2PdO2,Li2 Pd1 O2,91.447,43.646
mp-975997,NaLi2Pb,Na1 Li2 Pb1,22.028,13.808
mp-755894,Li2O,Li8 O4,71.014,44.318
mp-570528,Li2GaIr,Li2 Ga1 Ir1,87.044,4.657
mp-1545896,Li2Sb,Li12 Sb6,33.938,23.465
mp-866181,Li2NdIn,Li2 Nd1 In1,40.663,29.888
mp-1014462,Li2YAl,Li2 Y1 Al1,25.838,-9.986
mp-865067,Li2EuGe,Li2 Eu1 Ge1,34.651,23.508
mp-2935,Li2GeAu,Li2 Ge1 Au1,61.01,28.556
mp-22967,Li2FeBr4,Li2 Fe1 Br4,25.291,16.303
mp-31442,Li2InRh,Li2 In1 Rh1,70.882,25.237
mp-30403,Li2PbAu,Li2 Pb1 Au1,44.376,11.552
mp-30404,Li2SbAu,Li2 Sb1 Au1,54.242,21.767
mp-1029776,Li2GeN2,Li8 Ge4 N8,83.069,43.636
mp-5446,Li2PrO3,Li2 Pr1 O3,73.939,21.617
mp-975578,Li2SnHg,Li2 Sn1 Hg1,36.577,-26.63
mp-16238,Li2AgSb,Li2 Ag1 Sb1,46.551,20.639
mp-975608,Li2TlPt,Li2 Tl1 Pt1,56.12,17.316
mp-3726,Li2GaPt,Li2 Ga1 Pt1,82.351,28.95
mp-976333,Li2AcTl,Li2 Ac1 Tl1,33.082,14.653
mp-570466,Li2Ca,Li8 Ca4,16.063,11.708
mp-19896,Li2GePbS4,Li2 Ge1 Pb1 S4,41.491,19.979
mp-865577,Li2CdAu,Li2 Cd1 Au1,44.869,12.122
mp-866178,Li2NdAl,Li2 Nd1 Al1,42.611,29.333
mp-570998,NaLi2N,Na1 Li2 N1,41.942,22.499
mp-16341,Li2HgGe,Li2 Hg1 Ge1,41.262,4.176
mp-569396,BaLi2(MgGe)2,Ba1 Li2 Mg2 Ge2,36.665,27.584
mp-754213,Li2ZrCuO4,Li2 Zr1 Cu1 O4,114.265,58.508
mp-2286,Li2Se,Li2 Se1,33.677,26.985
mp-976982,Li2Mg,Li4 Mg2,21.725,-1.706
mp-760483,Li2PdO3,Li4 Pd2 O6,103.12,56.718
mp-975609,Li2TlPb,Li2 Tl1 Pb1,29.094,2.173
mp-31443,Li2InIr,Li2 In1 Ir1,82.523,28.256
mp-19970,Li3CuO3,Li12 Cu4 O12,81.806,35.049
mp-545467,Li3(CuO2)2,Li3 Cu2 O4,56.183,32.011
mp-975882,Li3Cu,Li3 Cu1,31.489,12.521
mp-975794,Li3Be,Li3 Be1,26.474,14.376
mp-752426,Li3SbS4,Li6 Sb2 S8,38.534,25.974
mp-36086,Li3NbO4,Li3 Nb1 O4,104.609,90.318
mp-976256,Li3Mg,Li3 Mg1,18.913,4.316
mp-976321,Li3Pr,Li3 Pr1,20.736,1.26
mp-2341,Li3N,Li6 N2,65.179,44.749
mp-975904,Li3Cd,Li3 Cd1,22.645,8.36
mp-977239,Li3Th,Li3 Th1,26.408,5.399
mp-28336,Li3P7,Li12 P28,24.186,11.791
mp-976075,Li3Ca,Li3 Ca1,14.299,7.417
mp-977230,Li3Tc,Li3 Tc1,37.523,15.88
mp-867342,Li3Ge,Li3 Ge1,32.98,22.258
mp-551675,Li3UO4,Li3 U1 O4,94.691,64.714
mp-976334,Li3Tc,Li3 Tc1,34.091,18.07
mp-976263,Li3Nb,Li3 Nb1,31.347,26.561
mp-753982,Li3CrS4,Li3 Cr1 S4,11.688,5.266
mp-757,Li3As,Li6 As2,34.809,30.48
mp-9568,Li3Ga2,Li3 Ga2,38.44,28.594
mp-25317,Li3(CuO2)2,Li3 Cu2 O4,69.336,33.635
mp-13725,Li3PO4,Li6 P2 O8,70.982,43.757
mp-976139,Li3Mg,Li3 Mg1,19.333,11.268
mp-976254,Li3Mg,Li3 Mg1,18.827,4.952
mp-1018780,Li3SmBi2,Li3 Sm1 Bi2,38.262,28.031
mp-976017,Li3Co,Li3 Co1,-83.57,14.761
mp-755309,Li3NbS4,Li3 Nb1 S4,11.108,7.241
mp-975868,Li3Al,Li3 Al1,26.875,18.203
mp-985583,Li3PS4,Li12 P4 S16,22.427,11.673
mp-35417,Li3TaO4,Li3 Ta1 O4,103.312,91.621
mp-977165,Li3Co,Li6 Co2,39.728,-4.58
mp-11247,Li3Au,Li3 Au1,33.973,9.25
mp-753081,Li3(CuO)4,Li3 Cu4 O4,61.32,23.563
mp-2074,Li3Sb,Li3 Sb1,32.535,25.62
mp-861228,Li3CuS2,Li6 Cu2 S4,38.568,19.728
mp-16506,Li3Al2,Li3 Al2,38.92,32.272
mp-736,Li3P,Li6 P2,39.519,34.45
mp-1029562,Li3InN2,Li24 In8 N16,85.511,58.145
mp-973316,NaLi3,Na2 Li6,11.571,5.99
mp-760415,Li3SbS4,Li3 Sb1 S4,28.938,13.461
mp-8407,Li3LaP2,Li3 La1 P2,56.817,45.426
mp-760375,Li3VS4,Li3 V1 S4,13.233,5.774
mp-867226,Li3In,Li3 In1,24.555,16.087
mp-13944,Li3AlN2,Li24 Al8 N16,102.784,99.981
mp-976264,Li3Nd,Li3 Nd1,20.824,1.22
mp-867227,Li3Pt,Li3 Pt1,46.404,15.779
mp-985585,Li3ClO,Li3 Cl1 O1,51.628,38.236
mp-1646,Li3Hg,Li3 Hg1,25.438,5.618
mp-28593,Li3BrO,Li3 Br1 O1,48.727,35.622
mp-977126,Li3Ag,Li6 Ag2,26.62,7.681
mp-867343,Li3Cd,Li3 Cd1,22.509,5.553
mp-16828,Li3B7O12,Li6 B14 O24,64.468,39.327
mp-983152,Li3Re,Li6 Re2,-18.964,-74.316
mp-976055,Li3In,Li3 In1,24.671,16.433
mp-1029592,Li3YN2,Li24 Y8 N16,80.904,44.751
mp-15254,Li3AlF6,Li18 Al6 F36,47.682,29.604
mp-1018770,Li3PrBi2,Li3 Pr1 Bi2,37.325,27.09
mp-976047,Li3Hg,Li3 Hg1,25.641,15.939
mp-30760,Li3Pb,Li3 Pb1,25.566,15.278
mp-2251,Li3N,Li3 N1,51.984,33.607
mp-977286,Li3Sm,Li3 Sm1,21.078,0.826
mp-7955,Li3Sb,Li6 Sb2,28.627,24.195
mp-850275,Li3SbS4,Li3 Sb1 S4,9.928,5.909
mp-1018764,Li3HoSb2,Li3 Ho1 Sb2,44.465,33.579
mp-976412,Li3Zn,Li3 Zn1,23.55,5.488
mp-976407,Li3Ac,Li3 Ac1,16.677,8.239
mp-976023,Li3Ga,Li3 Ga1,23.233,19.231
mp-976408,Li3Ag,Li3 Ag1,25.865,12.498
mp-27275,Li3BO3,Li12 B4 O12,72.847,42.251
mp-7396,Li3Tl,Li3 Tl1,23.258,14.643
mp-976010,Li3Cr,Li3 Cr1,22.421,6.546
mp-976414,Li3Zn,Li3 Zn1,23.562,63.284
mp-542435,Li3ScN2,Li24 Sc8 N16,92.251,60.664
mp-23222,Li3Bi,Li3 Bi1,28.2,21.021
mp-3887,Li3GaN2,Li24 Ga8 N16,98.991,87.141
mp-11489,Li3Pd,Li3 Pd1,36.429,15.968
mp-15999,Li3AuS2,Li6 Au2 S4,40.186,20.397
mp-976060,Li3C,Li3 C1,54.763,33.718
mp-9172,Li4TiO4,Li8 Ti2 O8,79.937,43.617
mp-7714,Li4UO5,Li4 U1 O5,85.449,52.804
mp-755298,Li4NbO4,Li4 Nb1 O4,73.687,37.488
mp-861182,Li4TiS4,Li4 Ti1 S4,24.697,14.592
mp-570097,Sr(Li2P)2,Sr1 Li4 P2,42.562,33.657
mp-15845,SrLi4N2,Sr2 Li8 N4,52.666,28.749
mp-865604,Li5Mg,Li5 Mg1,17.412,9.799
mp-685991,Li5SiP3,Li10 Si2 P6,35.658,27.044
mp-29364,Li5SbO5,Li5 Sb1 O5,94.256,64.692
mp-3838,Li5ReN4,Li10 Re2 N8,71.86,46.271
mp-12283,Li5Tl2,Li5 Tl2,24.305,16.195
mp-685194,Li4Ti5O12,Li8 Ti10 O24,108.701,60.558
mp-29149,Li4NCl,Li4 N1 Cl1,40.286,28.342
mp-11737,Li4SiO4,Li8 Si2 O8,78.989,53.188
mp-759877,Li4CuF7,Li4 Cu1 F7,53.165,15.96
mp-29151,Li5NCl2,Li5 N1 Cl2,38.043,26.953
mp-7080,Li5(NiN)3,Li5 Ni3 N3,77.127,46.935
mp-29025,Li5Br2N,Li5 Br2 N1,26.516,16.903
mp-755013,Li5TaO5,Li5 Ta1 O5,101.668,68.963
mp-981935,Li5Mg,Li5 Mg1,17.319,8.46
mp-30766,Li5Sn2,Li5 Sn2,29.691,21.604
mp-768197,Li5SbS4,Li5 Sb1 S4,38.444,24.406
mp-767409,Li5SbS,Li5 Sb1 S1,34.76,29.197
mp-15960,Li5AlO4,Li40 Al8 O32,80.916,54.227
mp-1029448,Li5OsN4,Li10 Os2 N8,70.247,38.982
mp-770649,Li5NbO5,Li5 Nb1 O5,99.64,64.543
mp-1029826,Li6OsN4,Li12 Os2 N8,84.062,64.411
mp-950995,Li6PS5I,Li12 P2 S10 I2,26.78,13.335
mp-867701,Li6CuS4,Li6 Cu1 S4,33.107,11.558
mp-8804,Li6MoN4,Li12 Mo2 N8,83.422,67.066
mp-756490,Li6MnS4,Li12 Mn2 S8,42.149,26.741
mp-3503,Li6WN4,Li12 W2 N8,84.394,68.603
mp-767525,Li6SbS2,Li6 Sb1 S2,34.924,12.923
mp-1029739,Li6FeN4,Li12 Fe2 N8,76.66,69.192
mp-1029498,Li6CrN4,Li12 Cr2 N8,84.311,72.584
mp-985591,Li6PS5Br,Li6 P1 S5 Br1,27.629,-11.852
mp-985592,Li6PS5Cl,Li6 P1 S5 Cl1,27.54,-20.486
mp-1029726,Li6IrN4,Li12 Ir2 N8,83.44,58.897
mp-28592,Li7Br3O2,Li7 Br3 O2,37.683,25.035
mp-30768,Li7Sn3,Li14 Sn6,30.336,23.766
mp-14753,Li7TaN4,Li56 Ta8 N32,82.815,64.79
mp-1029522,Li7SbN4,Li56 Sb8 N32,75.104,62.895
mp-30767,Li7Sn2,Li14 Sn4,27.747,22.949
mp-14827,Li7NbN4,Li56 Nb8 N32,81.654,63.726
mp-2468835,Li7B18O,Li7 B18 O1,129.576,91.595
mp-4604,Li7VN4,Li56 V8 N32,82.448,71.832
mp-27930,Li7Si2,Li28 Si8,32.647,28.995
mp-28549,Li8SiO6,Li16 Si2 O12,77.448,56.475
mp-755225,Li8ZrO6,Li8 Zr1 O6,93.569,55.213
mp-568404,Li9Al4,Li9 Al4,31.163,23.614
mp-2362521,Li9Ge4,Li18 Ge8,33.833,29.535
mp-30769,Li13Sn5,Li13 Sn5,29.762,24.659
mp-672287,Li13Si4,Li26 Si8,32.333,28.036
mp-510430,Li13In3,Li26 In6,22.544,17.785
mp-1020011,Li14P2(N2O)3,Li14 P2 N6 O3,83.023,68.471
mp-567395,Li15Au4,Li30 Au8,28.91,13.292
mp-569849,Li15Si4,Li30 Si8,29.691,20.993
mp-1777,Li15Ge4,Li30 Ge8,28.204,19.528
mp-865112,NaPrTl2,Na1 Pr1 Tl2,35.668,17.268
mp-866298,BaNaScSi2O7,Ba2 Na2 Sc2 Si4 O14,88.541,48.571
mp-754326,NaAgO2,Na1 Ag1 O2,58.425,26.511
mp-29356,NaTi2O4,Na4 Ti8 O16,143.935,77.985
mp-10474,NaPF6,Na1 P1 F6,23.499,10.027
mp-865118,NaPrAu2,Na1 Pr1 Au2,56.68,17.065
mp-22152,NaFeAs,Na2 Fe2 As2,48.294,33.541
mp-571467,Cs2NaYBr6,Cs2 Na1 Y1 Br6,15.187,8.079
mp-15318,Rb2NaHoF6,Rb2 Na1 Ho1 F6,34.367,17.647
mp-865117,NaErTl2,Na1 Er1 Tl2,37.926,23.846
mp-752947,NaTiS2,Na1 Ti1 S2,53.161,36.796
mp-454,NaGa4,Na1 Ga4,39.224,22.906
mp-5558,NaReO4,Na2 Re2 O8,21.527,10.392
mp-4276,NaSi2Pd3,Na2 Si4 Pd6,105.869,46.48
mp-754375,NaTi2O3,Na1 Ti2 O3,141.836,81.135
mp-31235,BaNaBi,Ba3 Na3 Bi3,23.376,16.323
mp-4170,NaTaO3,Na1 Ta1 O3,201.078,111.744
mp-865110,NaMgTl2,Na1 Mg1 Tl2,24.965,13
mp-977181,NaMo3,Na1 Mo3,165.314,14.462
mp-675798,NaHoF4,Na2 Ho2 F8,71.34,32.839
mp-4419,NaNbO3,Na2 Nb2 O6,130.639,99.908
mp-4514,NaNbO3,Na2 Nb2 O6,100.75,37.235
mp-989545,Rb2NaSbCl6,Rb2 Na1 Sb1 Cl6,18.041,9.127
mp-14433,NaGe2N3,Na2 Ge4 N6,134.959,77.934
mp-10525,NaLi2N,Na1 Li2 N1,53.888,-24.612
mp-865126,NaTlPd2,Na1 Tl1 Pd2,74.545,-1.208
mp-27837,NaHF2,Na1 H1 F2,32.742,10.903
mp-973166,NaCd3,Na2 Cd6,27.528,10.71
mp-20227,NaMnP,Na2 Mn2 P2,47.234,34.395
mp-1002069,NaLiICl,Na1 Li1 I1 Cl1,20.106,11.883
mp-504600,NaH4ClO2,Na4 H16 Cl4 O8,19.203,10.767
mp-999126,NaTbS2,Na1 Tb1 S2,44.885,27.446
mp-11466,NaHg2,Na1 Hg2,18.769,8.158
mp-7748,NaAlO2,Na1 Al1 O2,133.356,87.199
mp-30053,NaCN,Na2 C2 N2,18.145,11.602
mp-977176,NaTcO3,Na1 Tc1 O3,190.453,92.535
mp-6686,K2NaInF6,K2 Na1 In1 F6,39.509,20.537
mp-13097,NaZnAs,Na2 Zn2 As2,36.358,21.583
mp-4681,NaNbO3,Na4 Nb4 O12,92.741,54.97
mp-7937,NaNbS2,Na2 Nb2 S4,76.388,48.843
mp-3136,NaNbO3,Na1 Nb1 O3,176.561,100.088
mp-13797,K2NaCuF6,K2 Na1 Cu1 F6,42.815,24.134
mp-20343,NaAuO2,Na2 Au2 O4,40.105,13.28
mp-865051,NaCa2Tl,Na1 Ca2 Tl1,22.925,14.702
mp-862943,NaPmHg2,Na1 Pm1 Hg2,43.007,14.658
mp-999274,RbNaH2,Rb1 Na1 H2,14.995,10.939
mp-23054,NaBiO3,Na2 Bi2 O6,57.489,23.569
mp-7723,NaAlF4,Na1 Al1 F4,61.231,90.834
mp-976856,NaMg3,Na1 Mg3,24.546,8.351
mp-22924,NaBi,Na1 Bi1,29.484,12.854
mp-975994,NaLa3,Na1 La3,21.316,6.803
mp-631317,NaIrPb,Na1 Ir1 Pb1,49.954,-166.496
mp-6633,NaCSN,Na4 C4 S4 N4,18.759,8.919
mp-5475,NaTaN2,Na1 Ta1 N2,136.044,88.887
mp-7017,NaNbN2,Na1 Nb1 N2,129.459,85.619
mp-976181,NaBH4,Na1 B1 H4,19.495,11.449
mp-865077,NaCd3,Na1 Cd3,28.313,-3.797
mp-4531,NaNO3,Na2 N2 O6,26.795,12.399
mp-977110,NaSnPd2,Na1 Sn1 Pd2,80.165,24.056
mp-23729,NaBeH3,Na1 Be1 H3,59.369,49.113
mp-10225,NaVS2,Na1 V1 S2,57.655,19.874
mp-974558,Na,Na1,7.76,2.856
mp-1002081,KNaICl,K1 Na1 I1 Cl1,14.528,8.011
mp-976150,NaAl3,Na1 Al3,48.882,25.378
mp-7942,NaTiS2,Na1 Ti1 S2,50.05,34.134
mp-546500,NaCNO,Na1 C1 N1 O1,27.617,12.586
mp-38725,NaBH4,Na2 B2 H8,19.433,11.009
mp-6204,Cs2NaScF6,Cs2 Na1 Sc1 F6,34.148,17.639
mp-578601,NaNbO2,Na1 Nb1 O2,133.066,63.662
mp-865115,NaNdHg2,Na1 Nd1 Hg2,42.221,14.872
mp-31086,NaP5,Na4 P20,35.625,19.553
mp-999455,NaSmS2,Na1 Sm1 S2,43.099,25.836
mp-982381,NaCu3,Na1 Cu3,67.875,23.089
mp-754777,NaLaO2,Na1 La1 O2,63.943,32.067
mp-22212,NaSbO3,Na4 Sb4 O12,128.735,94.186
mp-754825,NaTmO2,Na1 Tm1 O2,89.39,53.39
mp-976870,NaNi3,Na1 Ni3,96.01,36.546
mp-2955,NaMgF3,Na4 Mg4 F12,69.146,41.752
mp-634657,NaHS,Na2 H2 S2,21.406,10.172
mp-865081,NaAcTe2,Na1 Ac1 Te2,40.126,10.792
mp-22003,NaN3,Na1 N3,25.56,10.625
mp-676586,Na(VS2)2,Na1 V2 S4,43.286,17.426
mp-865108,NaSmHg2,Na1 Sm1 Hg2,43.362,14.613
mp-9264,NaTeAu,Na2 Te2 Au2,31.246,9.325
mp-989541,Rb2NaSbF6,Rb2 Na1 Sb1 F6,33.711,17.354
mp-755586,NaLaO2,Na2 La2 O4,82.441,37.902
mp-865076,NaCd2Pt,Na1 Cd2 Pt1,69.41,22.098
mp-977140,NaTa3,Na1 Ta3,132.843,16.731
mp-570998,NaLi2N,Na1 Li2 N1,41.942,22.499
mp-39681,NaTi2BiO6,Na1 Ti2 Bi1 O6,103.839,32.797
mp-999127,NaTbSe2,Na1 Tb1 Se2,37.348,23.515
mp-22862,NaCl,Na1 Cl1,23.77,14.298
mp-555576,KNaS2O7,K2 Na2 S4 O14,23.283,12.267
mp-20612,NaMnAs,Na2 Mn2 As2,23.526,22.44
mp-2720358,NaClO3,Na4 Cl4 O12,25.827,14.452
mp-999460,NaScS2,Na1 Sc1 S2,51.116,31.329
mp-10172,Na,Na2,7.777,4.588
mp-23268,NaI,Na1 I1,15.1,8.31
mp-976923,NaReO3,Na1 Re1 O3,211.053,96.474
mp-962060,NaYSi,Na1 Y1 Si1,38.721,0.269
mp-755378,NaPdO2,Na1 Pd1 O2,86.526,45.178
mp-865109,NaSmTl2,Na1 Sm1 Tl2,36.766,19.687
mp-1021431,CsNaICl,Cs1 Na1 I1 Cl1,11.698,5.876
mp-999450,NaSmSe2,Na1 Sm1 Se2,35.686,21.517
mp-866128,NaTmTl2,Na1 Tm1 Tl2,37.535,23.164
mp-570538,NaN3,Na1 N3,23.382,3.498
mp-1029316,Na2ZrN2,Na2 Zr1 N2,39.38,24.691
mp-1974948,Na2O,Na6 O3,46.967,23.696
mp-1266,Na2Se,Na2 Se1,23.909,15.694
mp-7725,Na2UO4,Na2 U1 O4,70.652,33.502
mp-1025360,Na2Ti2As2O,Na2 Ti2 As2 O1,59.913,26.878
mp-4366,Na2PtC2,Na2 Pt1 C2,54.301,25.524
mp-4533,Na2SiO3,Na4 Si2 O6,61.337,35.839
mp-20389,Na2CdPb,Na2 Cd1 Pb1,23.527,10.909
mp-648,Na2S,Na2 S1,28.189,19.193
mp-690785,Na2H6Pt,Na2 H6 Pt1,22.335,15.848
mp-862949,NaPmTl2,Na1 Pm1 Tl2,36.356,18.771
mp-13816,Cs2NaErF6,Cs2 Na1 Er1 F6,31.129,17.633
mp-560767,KNaTiO3,K2 Na2 Ti2 O6,58.009,27.905
mp-2408760,NaCu2O3,Na2 Cu4 O6,93.317,19.434
mp-976943,NaRe3,Na1 Re3,236.918,94.173
mp-8830,NaRhO2,Na1 Rh1 O2,109.969,59.556
mp-9076,NaTmS2,Na1 Tm1 S2,47.536,28.714
mp-3405,NaAl11O17,Na2 Al22 O34,152.126,69.533
mp-989644,Cs2NaCaCl6,Cs2 Na1 Ca1 Cl6,16.182,4.943
mp-862942,NaPmAu2,Na1 Pm1 Au2,59.173,18.208
mp-973174,NaAg3,Na1 Ag3,52.516,21.232
mp-23704,NaAlH4,Na2 Al2 H8,19.606,13.109
mp-976261,NaCa2In,Na1 Ca2 In1,24.704,15.823
mp-754027,NaSmO2,Na2 Sm2 O4,91.596,48.531
mp-999470,NaNdS2,Na1 Nd1 S2,41.505,24.811
mp-409,NaS,Na6 S6,26.857,13.293
mp-13798,K2NaTlF6,K2 Na1 Tl1 F6,37.066,18.04
mp-560399,NaMgF3,Na1 Mg1 F3,71.171,42.484
mp-756034,NaSmO2,Na1 Sm1 O2,74.437,40.862
mp-23850,NaH2N,Na4 H8 N4,13.017,10.054
mp-23684,NaHCO2,Na2 H2 C2 O4,25.163,12.017
mp-10224,NaVS2,Na1 V1 S2,59.208,33.967
mp-28614,NaBPt3,Na2 B2 Pt6,154.883,34.515
mp-10422,NaAuC2,Na1 Au1 C2,47.935,23.061
mp-255,NaHg,Na4 Hg4,17.221,6.751
mp-4748,NaNbO3,Na4 Nb4 O12,124.843,-58.617
mp-989578,Rb2NaInF6,Rb2 Na1 In1 F6,38.727,20.572
mp-961699,NaMgP,Na1 Mg1 P1,37.881,-142.864
mp-13925,Cs2NaYF6,Cs2 Na1 Y1 F6,32.42,16.618
mp-682,NaF,Na1 F1,46.136,30.163
mp-7090,NaMgSb,Na2 Mg2 Sb2,26.982,16.18
mp-5175,NaInO2,Na1 In1 O2,90.689,50.611
mp-865100,NaInHg2,Na1 In1 Hg2,25.727,9.66
mp-999474,NaHoSe2,Na1 Ho1 Se2,37.932,24.123
mp-4699,NaTaO3,Na4 Ta4 O12,127.767,47.441
mp-1052,NaAu2,Na2 Au4,71.011,26.679
mp-8452,NaLiS,Na2 Li2 S2,35.529,23.768
mp-961774,BaNaSb,Ba1 Na1 Sb1,24.711,11.206
mp-976076,NaAc2Sn,Na1 Ac2 Sn1,33.683,15.328
mp-974883,Rb3Na,Rb3 Na1,3.363,1.15
mp-3889,NaBO2,Na6 B6 O12,45.442,20.982
mp-3567,NaVSe2,Na1 V1 Se2,46.152,-0.564
mp-962064,NaYSn,Na1 Y1 Sn1,31.152,-0.566
mp-981933,NaPd2Pb,Na1 Pd2 Pb1,72.915,14.516
