material_id,formula_pretty,composition,K_vrh,G_vrh
mp-861661,LiPr2Ru,Li1 Pr2 Ru1,61.849,22.364
mp-2659,LiN3,Li1 N3,35.899,18.796
mp-23702,LiH2N,Li4 H8 N4,28.876,21.892
mp-1029424,LiTi2N3,Li2 Ti4 N6,134.345,71.603
mp-3348,LiBIr,Li4 B4 Ir4,163.719,69.518
mp-976260,LiTm2Au,Li1 Tm2 Au1,64.88,35.495
mp-853967,LiCuS,Li4 Cu4 S4,42.412,15.398
mp-795,LiSi,Li8 Si8,52.319,36.261
mp-3700,LiYF4,Li2 Y2 F8,79.743,31.762
mp-753326,LiAg2F6,Li1 Ag2 F6,50.447,17.197
mp-989405,Cs2LiInBr6,Cs2 Li1 In1 Br6,16.592,8.914
mp-7555,LiMgSnPd,Li1 Mg1 Sn1 Pd1,73.754,33.072
mp-973455,LiMg2,Li2 Mg4,29.769,23.398
mp-675334,LiTi2O4,Li1 Ti2 O4,168.606,114.219
mp-9588,LiP,Li8 P8,41.365,26.861
mp-1067,LiAl,Li2 Al2,48.228,32.432
mp-975044,Li(SiRh)2,Li2 Si4 Rh4,162.926,68.685
mp-867197,LiGaNi2,Li1 Ga1 Ni2,117.728,-16.545
mp-976411,Li,Li4,13.866,6.849
mp-862613,LiAc2Ga,Li1 Ac2 Ga1,33.104,19.764
mp-862737,LiHgPd2,Li1 Hg1 Pd2,97.049,22.7
mp-22716,LiCu2P,Li2 Cu4 P2,77.333,32.433
mp-30819,LiAl2Pt,Li1 Al2 Pt1,124.378,59.706
mp-867170,LiGaPt2,Li1 Ga1 Pt2,151.641,153.628
mp-569685,LiZnP,Li1 Zn1 P1,58.055,-72.249
mp-1307,LiGa,Li2 Ga2,42.172,20.189
mp-989551,LiTl2InF6,Li1 Tl2 In1 F6,41.494,13.628
mp-10615,BaLiP,Ba1 Li1 P1,37.873,24.535
mp-1018133,LiHPd,Li1 H1 Pd1,82.256,38.705
mp-6521,LiLaTiO4,Li2 La2 Ti2 O8,122.869,53.816
mp-867198,LiGaPd2,Li1 Ga1 Pd2,117.477,-39.18
mp-867223,LiGa2Ni,Li1 Ga2 Ni1,90.52,42.228
mp-15789,LiDyS2,Li1 Dy1 S2,49.046,27.451
mp-861955,LiPm2Ge,Li1 Pm2 Ge1,52.428,26.487
mp-755144,NaLiO,Na2 Li2 O2,55.978,39.05
mp-865578,LiNd2Ga,Li1 Nd2 Ga1,43.608,24.558
mp-20567,LiGa2Ru,Li1 Ga2 Ru1,115.246,46.408
mp-605860,Ba2LiN,Ba16 Li8 N8,16.114,6.403
mp-773044,LiCuO2,Li2 Cu2 O4,57.048,22.461
mp-631319,LiTiRe,Li1 Ti1 Re1,86.699,-27.038
mp-21471,LiFeAs,Li2 Fe2 As2,67.093,39.305
mp-33526,LiBiS2,Li2 Bi2 S4,49.655,32.521
mp-974642,LiAg2Pb,Li1 Ag2 Pb1,47.164,8.871
mp-33667,LiDyS2,Li2 Dy2 S4,53.412,36.047
mp-867873,LiTm2Al,Li1 Tm2 Al1,53.804,35.568
mp-867121,LiY2Pt,Li1 Y2 Pt1,71.412,30.073
mp-9839,K2LiAlF6,K2 Li1 Al1 F6,49.406,25.226
mp-5419,LiGa2Ir,Li1 Ga2 Ir1,121.949,40.935
mp-11807,LiPt,Li1 Pt1,113.442,51.982
mp-32641,LiS,Li1 S1,39.492,-36.107
mp-755959,NaLiO,Na4 Li4 O4,38.429,16.356
mp-976793,LiEr2Ga,Li1 Er2 Ga1,54.254,36.081
mp-862673,LiY2Ru,Li1 Y2 Ru1,70.948,29.28
mp-865924,LiZrAu2,Li1 Zr1 Au2,103.353,5.343
mp-861876,LiAc2Si,Li1 Ac2 Si1,39.953,22.936
mp-973841,LiHo2Al,Li1 Ho2 Al1,51.616,33.455
mp-865795,LiSc2Ru,Li1 Sc2 Ru1,87.654,34.245
mp-24150,LiNd2HO3,Li1 Nd2 H1 O3,133.492,86.992
mp-1205309,LiB,Li2 B2,43.817,32.433
mp-15796,LiHoSe2,Li1 Ho1 Se2,40.461,24.071
mp-996987,LiCuO2,Li2 Cu2 O4,78.449,43.139
mp-3635,LiBO2,Li4 B4 O8,62.738,31.277
mp-862870,LiTcO3,Li1 Tc1 O3,194.213,79.846
mp-862619,LiErIn2,Li1 Er1 In2,43.83,20.144
mp-29633,LiGePd2,Li1 Ge1 Pd2,121.813,37.662
mp-24148,LiLa2HO3,Li1 La2 H1 O3,125.243,72.439
mp-867253,LiZn2Ir,Li1 Zn2 Ir1,116.817,40.679
mp-862926,LiPmAu2,Li1 Pm1 Au2,65.291,67.79
mp-632402,LiCaUF8,Li1 Ca1 U1 F8,44.136,14.907
mp-14208,LiYSi,Li3 Y3 Si3,62.422,48.636
