material_id,composition,K_vrh
mp-758302,Li2 Ag2 F4,54.712
mp-755253,Li2 Zr2 O4,158.131
mp-864762,Li1 Mg2 Zn1,40.259
mp-861616,Li1 Sc2 Ir1,99.243
mp-8481,Li3 Pr3 Ge3,53.023
mp-867267,Li1 Ho2 Pt1,74.476
mp-976259,Li1 Tm1 Rh2,103.934
mp-861913,Li1 Dy2 Al1,49.683
mp-962069,Li1 Ag1 Te1,40.089
mp-862842,Li1 Pm2 Pt1,63.715
mp-8873,Li1 Ge1 B1 O4,89.133
mp-861896,Li1 Hg2 Pd1,69.136
mp-864614,Li1 Mg2 Pt1,70.501
mp-2468774,Li4 Cu4 S4,62.759
mp-36791,Li2 Nd2 S4,47.891
mp-861666,Li1 Ru2 W1,221.989
mp-766486,Li2 Cu2 S4,46.834
mp-13277,Ba2 Li2 P2,39.363
mp-13916,Li4 Ca4 Si8,47.84
mp-1029932,Li4 V4 N8,80.75
mp-861625,Li1 Zn1 Ag2,65.489
mp-867211,Li1 Ca2 In1,27.505
mp-12716,Li1 Tl1 Pd2,94.163
mp-753722,Li1 Cu1 S2,41.616
mp-864631,Li1 Nb1 Rh2,175.191
mp-989579,Rb2 Li1 Tl1 Cl6,19.666
mp-862677,Li1 Ho1 Tl2,42.546
mp-989504,Na2 Li1 N1 F6,59.139
mp-976291,Li2 Al2 H8,24.716
mp-753541,Li2 Cu2 F8,39.822
mp-1029395,Li2 Cr2 N4,87.366
mp-9562,Li2 Be2 As2,54.336
mp-753605,Li4 Cu4 S4,26.248
mp-569331,Li2 Sn12 Pd4,61.911
mp-973874,Li1 La2 Al1,36.572
mp-867927,Li1 V1 Ir2,223.046
mp-754537,Li1 Lu1 O2,96.985
mp-861956,Li1 Pm2 Ir1,73.728
mp-973561,Li1 Ce2 Ru1,65.477
mp-961684,Li1 Ca1 As1,37.314
mp-865116,Li1 Sm1 Tl2,41.722
mp-30821,Li1 Al2 Rh1,119.342
mp-982974,Li1 Be1 Au2,105.456
mp-861624,Li1 La1 Hg2,44.988
mp-862296,Li1 Al1 Pt2,151.998
mp-867834,Li1 Hf1 Pt2,146.996
mp-976424,Li1 La3,30.515
mp-865939,Li1 Mg2,30.17
mp-976280,Li2 Br2,19.461
mp-2365577,Li2 Ni2 S4,71.293
mp-755000,Li2 Ti2 O4,129.822
mp-13914,Li1 Co2 Ge1,154.032
mp-27227,Li2 Ag6 O4,66.519
mp-867313,Li1 Tm1 Pt2,103.456
mp-1018786,Li2 Mn2 Sb2,30.709
mp-862377,Li1 Be2 Ir1,139.753
mp-631330,Li1 Ta1 W2,174.843
mp-11512,Li1 Al2 Ir1,135.916
mp-29520,Li2 Au2 I8,6.138
mp-864784,Li1 Sn1 Rh2,142.707
mp-758741,Li1 Fe2 P2,126.556
mp-12564,Li1 Sb1 Au1,53.85
mp-867206,Li1 Cd2 Pt1,84.2
mp-861900,Li1 Ga1 Au2,85.118
mp-865936,Li1 Sc2 Tc1,82.734
mp-1001786,Li1 Sc1 S2,55.65
mp-13444,Li6 Sn6,37.597
mp-5048,Li2 Ga2 Te4,26.207
mp-867119,Li1 Hf1 Pd2,117.376
mp-862555,Li1 Y2 Al1,50.306
mp-975990,Na1 Li1 O3,49.933
mp-862774,Li1 In1 Pt2,128.499
mp-867364,Li1 Tm1 Pd2,82.224
mp-867258,Li1 Zn1 Pd2,109.393
mp-862684,Li1 Hf2 Os1,145.945
mp-867148,Li1 Hf1 Rh2,145.866
mp-9615,Li1 Ti1 S2,65.258
mp-8754,Na4 Li4 Te4,24.832
mp-1029294,Li2 Sn4 N6,83.514
mp-23856,Li2 H2 O2,14.251
mp-9472,Li1 Ag2 Ge1,64.676
mp-861932,Li1 Zn1 Au2,86.57
mp-867924,Li1 Cd1 Pd2,93.448
mp-863659,Li1 Sc1 Hg2,57.209
mp-604313,Li4,9.564
mp-22905,Li1 Cl1,32.161
mp-567097,Li1 Cu2 Ge1,88.21
mp-861629,Li1 Mn1 Pd2,102.805
mp-753848,Li2 Cu6 O6,89.756
mp-753371,Li4 Cu4 S4,32.045
mp-996992,Li1 Ag1 O2,70.805
mp-861661,Li1 Pr2 Ru1,61.849
mp-2659,Li1 N3,35.899
mp-23702,Li4 H8 N4,28.876
mp-1029424,Li2 Ti4 N6,134.345
mp-3348,Li4 B4 Ir4,163.719
mp-976260,Li1 Tm2 Au1,64.88
mp-853967,Li4 Cu4 S4,42.412
mp-795,Li8 Si8,52.319
mp-3700,Li2 Y2 F8,79.743
mp-753326,Li1 Ag2 F6,50.447
mp-989405,Cs2 Li1 In1 Br6,16.592
mp-7555,Li1 Mg1 Sn1 Pd1,73.754
mp-973455,Li2 Mg4,29.769
mp-675334,Li1 Ti2 O4,168.606
mp-9588,Li8 P8,41.365
mp-1067,Li2 Al2,48.228
mp-975044,Li2 Si4 Rh4,162.926
mp-867197,Li1 Ga1 Ni2,117.728
mp-976411,Li4,13.866
mp-862613,Li1 Ac2 Ga1,33.104
mp-862737,Li1 Hg1 Pd2,97.049
mp-22716,Li2 Cu4 P2,77.333
mp-30819,Li1 Al2 Pt1,124.378
mp-867170,Li1 Ga1 Pt2,151.641
mp-569685,Li1 Zn1 P1,58.055
mp-1307,Li2 Ga2,42.172
mp-989551,Li1 Tl2 In1 F6,41.494
mp-10615,Ba1 Li1 P1,37.873
mp-1018133,Li1 H1 Pd1,82.256
mp-6521,Li2 La2 Ti2 O8,122.869
mp-867198,Li1 Ga1 Pd2,117.477
mp-867223,Li1 Ga2 Ni1,90.52
mp-15789,Li1 Dy1 S2,49.046
mp-861955,Li1 Pm2 Ge1,52.428
mp-755144,Na2 Li2 O2,55.978
mp-865578,Li1 Nd2 Ga1,43.608
mp-20567,Li1 Ga2 Ru1,115.246
mp-605860,Ba16 Li8 N8,16.114
mp-773044,Li2 Cu2 O4,57.048
mp-631319,Li1 Ti1 Re1,86.699
mp-21471,Li2 Fe2 As2,67.093
mp-33526,Li2 Bi2 S4,49.655
mp-974642,Li1 Ag2 Pb1,47.164
mp-33667,Li2 Dy2 S4,53.412
mp-867873,Li1 Tm2 Al1,53.804
mp-867121,Li1 Y2 Pt1,71.412
mp-9839,K2 Li1 Al1 F6,49.406
mp-5419,Li1 Ga2 Ir1,121.949
mp-11807,Li1 Pt1,113.442
mp-32641,Li1 S1,39.492
mp-755959,Na4 Li4 O4,38.429
mp-976793,Li1 Er2 Ga1,54.254
mp-862673,Li1 Y2 Ru1,70.948
mp-865924,Li1 Zr1 Au2,103.353
mp-861876,Li1 Ac2 Si1,39.953
mp-973841,Li1 Ho2 Al1,51.616
mp-865795,Li1 Sc2 Ru1,87.654
mp-24150,Li1 Nd2 H1 O3,133.492
mp-1205309,Li2 B2,43.817
mp-15796,Li1 Ho1 Se2,40.461
mp-996987,Li2 Cu2 O4,78.449
mp-3635,Li4 B4 O8,62.738
mp-862870,Li1 Tc1 O3,194.213
mp-862619,Li1 Er1 In2,43.83
mp-29633,Li1 Ge1 Pd2,121.813
mp-24148,Li1 La2 H1 O3,125.243
mp-867253,Li1 Zn2 Ir1,116.817
mp-862926,Li1 Pm1 Au2,65.291
mp-632402,Li1 Ca1 U1 F8,44.136
mp-14208,Li3 Y3 Si3,62.422
mp-2894145,Li1 Mg6 Mo1,46.099
mp-13590,Li1 B1 C4 N4,28.204
mp-5159,Li1 Ga2 Pd1,83.371
mp-11947,Li1 Al1 Ag2,71.27
mp-20049,Li2 Fe2 P2,71.576
mp-3660,Li4 B12 O20,83.932
mp-861660,Li1 Nd1 Hg2,48.714
mp-865933,Li1 Si1 Ir2,230.966
mp-15821,Li3 Nd3 Ge3,54.525
mp-23736,Li2 Mg2 H6,40.623
mp-5853,Li2 Si4 N6,158.088
mp-6668,Li4 Ti4 P4 O20,97.252
mp-961703,Na1 Li1 Pt1,28.036
mp-10687,Li1 Cd1 P1,53.16
mp-600561,Li1 Rh1,106.321
mp-862716,Li1 Ag3,66.506
mp-861954,Li1 Ta1 Ru2,190.046
mp-862887,Li1 Sc2 Os1,98.86
mp-976330,Li1 Zr2 Ir1,131.667
mp-6270,Ba2 Li1 Re1 O6,84.792
mp-1009014,Li1 Cu1 O1,97.277
mp-989512,Li1 Tl2 In1 Cl6,22.841
mp-865925,Li1 Zr1 Ir2,164.912
mp-6654,Cs2 Li1 Ga1 F6,23.035
mp-760408,Li2 Zn2 O4,94.162
mp-556562,Li2 As2 H12 O6 F12,16.616
mp-975368,Li1 Ca2 Mg1,20.611
mp-552663,Li1 Sc1 As2 O7,88.172
mp-867210,Li1 Ca2 Hg1,26.023
mp-13396,Li1 In2 Rh1,90.326
mp-1018026,Li2 Ag2,44.019
mp-863675,Li1 Pm2 Ru1,65.347
mp-1029251,Li4 Ru4 N4,104.541
mp-504691,Li2 Mn2 P2,88.94
mp-1001790,Li1 O3,36.573
mp-865444,Li1 Sc2 Pt1,89.908
mp-1017626,Li1 Ca1 F3,79.537
mp-631333,Li1 Pd1 W2,189.875
mp-862775,Li1 In1 Rh2,125.117
mp-753098,Li1 Cu1 F2,57.622
mp-867872,Li1 Cd1 Ag2,58.234
mp-973826,Li1 Ho1 Sn2,46.456
mp-3161,Li1 Al1 Si1,63.069
mp-862610,Li1 Hf1 Ir2,174.685
mp-30763,Li1 Pd2 Pb1,81.931
mp-8132,Li1 Ti3 Se6,23.112
mp-867235,Li1 Y2 Ir1,80.823
mp-569834,Li2 Cu4 Sn2,75.321
mp-644271,Li2 H2 S2,21.446
mp-862717,Li1 Al1 Au2,97.735
mp-754542,Li1 V1 S2,61.175
mp-862928,Li1 Pm1 Tl2,41.737
mp-30209,Li4 B4 H16,15.533
mp-757100,Li1 Co1 S2,69.93
mp-7473,Li1 Cu2 Si1,105.396
mp-559598,Li2 Sc2 F8,86.711
mp-1378,Li2 C2,40.769
mp-12558,Li1 Mg1 As1,46.549
mp-867926,Li1 In1 Pd2,100.631
mp-755552,Li1 Y1 S2,69.089
mp-867812,Li1 Al1 Ni2,117.454
mp-752927,Li2 Ag2 F4,68.307
mp-867803,Li1 Ca2 Cd1,23.718
mp-10584,Ba2 Li1 Os1 O6,82.233
mp-861882,Li1 Ge1 Ir2,206.944
mp-973374,Li2 Mg4,28.486
mp-863727,Li1 Ti1 Rh2,154.975
mp-867805,Li1 Ca2 Ga1,28.548
mp-976596,Li1 Lu2 Ga1,56.068
mp-962066,Na1 Li1 Te1,21.842
mp-14115,Li1 Rh1 O2,114.358
mp-2012,Li1 Hg1,32.253
mp-279,Li1 Ir1,141.786
mp-7936,Li2 Nb2 S4,82.755
mp-864597,Li1 Mg1 Tl2,30.009
mp-7350,Li2 Y4 Si4,67.911
mp-631449,Li1 Ta1 Be1,65.88
mp-867145,Li1 Ho2 Ga1,54.046
mp-9950,Ba1 Li1 Si1,28.242
mp-862730,Li1 Ga1 Rh2,148.873
mp-756784,Li1 Sb1 S2,62.775
mp-977380,Li1 Mg2 Pd1,57.675
mp-867820,Li1 Al1 Pd2,119.104
mp-22460,Li2 In2,32.743
mp-867251,Li1 Zn2 Pt1,104.433
mp-28254,Li2 Ru2 O4,196.978
mp-15820,Li3 Ho3 Ge3,61.118
mp-754516,Li2 Ni2 P2,59.926
