material_id,composition,E_g
mp-14210,Li3 Gd3 Ge3,0.0
mp-772390,Li4 Al4 Fe4 O16,0.0
mp-865228,Li1 Sc1 Pt2,0.0
mp-1221039,Na2 Li2 Al8 Si4 O24,3.1323000000000003
mp-757894,Li4 Co4 P4 O16,2.2027
mp-765984,Li4 V4 Si12 O32,2.9766000000000004
mp-697758,Li4 Fe4 P8 O28,2.1716
mp-760833,Li12 Fe12 O36,0.0
mp-754024,Li2 Ti4 V6 O20,1.4482999999999997
mp-1185348,Li2 F6,0.0
mp-776632,Li4 Mn16 P24 O84,0.0
mp-760248,Li2 Fe4 B4 O12,0.8361000000000001
mp-757777,Li2 Si2 Bi6 O14,2.6693
mp-1235030,Li1 Eu1 Y1 O2,0.0
mp-753425,Li2 Cu2 C2 O6,1.7011
mp-973966,Li1 In1 I4 O12,2.6987
mp-1222311,Li1 Ge1 Sb1 Te3,0.8220000000000001
mp-1101530,Li4 Mn4 P8 O28,1.2990000000000002
mp-1200222,K8 Li4 P12 O40,0.5922000000000001
mp-1021276,Li2 Mg12 Cd2,0.0
mp-1021327,K1 Li1 I1 Cl1,4.4304
mp-510641,Li4 Fe4 As4 O16,2.0793000000000004
mp-764774,Li4 Ti8 V12 O48,2.3032
mp-1236649,Ba3 Li1 Ti3 O8,0.0
mp-779091,Li2 Fe8 B8 O24,1.3946999999999998
mp-1185366,Li1 Mg2 In1,0.0
mp-765692,Li4 Co8 O4 F12,2.117
mp-773043,Li8 Fe16 O32,0.0
mp-1185331,Li1 Dy2 Rh1,0.0
mp-556156,Li4 U4 B4 O20,1.9059
mp-1101598,Li2 Ni2 P4 O14,0.0749999999999999
mp-1235073,Li1 Lu2 W2 Cl2 O8,2.2551
mp-754153,Li4 H8 Br4 O4,4.3086
mp-1188255,Li4 La4 Ge8,0.0
mp-1040052,Li1 Mg30 Ga1 O32,4.144000000000001
mp-1236120,Rb2 Li1 Pu1 Cl4 O2,0.6851
mp-1235061,Li1 Si6 O12,0.0
mp-1196671,Li4 Zn4 Si8 H188 C68 N16,2.8368
mp-757096,Li12 Cr12 P12 O48,3.0857
mp-771267,Li2 Zn2 Fe14 O24,1.1619000000000002
mp-753471,Li4 Cu4 B4 O12,0.032
mp-1195205,Li4 P8 H32 N4 O32,5.3449
mp-3666,Li2 Ta2 O6,3.7003
mp-1235533,Li1 Al2 V4 O8,0.9430999999999994
mp-1176751,Li2 Fe4 O4 F6,2.3844
mp-638276,Li2 Eu8 C6 I6 N12,0.4196
mp-758769,Li4 Ni4 C8 O24,0.0
mp-752623,Li6 Co6 Si6 O24,0.8684999999999999
mp-18048,Li6 Zn6 As6 O24,2.9218
mp-1279363,Li4 Fe4 O4 F4,1.4747999999999997
mp-766000,Li2 V2 Cr2 P8 O28,1.4875
mp-26093,Li4 Ni4 P4 O16,3.0629000000000004
mp-1235471,Li1 Cu6 O1 F11,0.0
mp-731921,Li4 Be4 N4 F16,2.8777
mp-865870,Li1 Zr2 Os1,0.0
mp-1206798,Li1 Ca2 Ge1,0.0
mp-1112670,Cs2 Li1 Tl1 Br6,0.5505
mp-1235254,Li1 Fe8 O12 F4,0.0
mp-977391,Li1 Nd2 Os1,0.0
mp-768693,Li4 Mn4 P4 C4 O28,0.7426
mp-605006,Li8 H64 C16 S16 N8 O40,5.7273
mp-770866,Li4 Mn20 O32,0.0
mp-768665,Li4 Bi4 B8 O20,1.6436
mp-504948,Li4 Sc4 Ge4 O16,3.9614
mp-754504,Li1 Mn3 Cr1 O8,0.5277000000000001
mp-761164,Li4 Nb4 F20,0.0633999999999999
mp-1035435,Li1 Mg14 Fe1 O16,1.9419000000000004
mp-757123,Li4 V4 Si4 O16,1.9155
mp-1235359,Ba2 Li1 La1 Cu3 O7,0.0
mp-1235739,K2 Li1 Nd4 Nb2 O12,0.0
mp-12403,Li3 B3 F12,8.246
mp-759365,Li12 Cu12 P12 O48,0.0598
mp-761817,Li4 Nb4 V4 O16,1.2698
mp-757820,Li8 Ni8 P8 O32,2.733
mp-1111476,Na2 Li1 Sb1 Cl6,2.9225000000000003
mp-1017482,Li2 Hf2 Mg12,0.0
mp-757956,Li1 P2 W1 O7,3.9459
mp-1205646,K2 Li1 Pd1 F6,0.3787
mp-1211965,K12 Li12 Mo12 O48,4.5229
mp-1565491,Li2 V4 Ni2 O12,1.5283000000000002
mp-1111244,K2 Li1 Sm1 Cl6,4.9171
mp-780424,Li4 Mn4 P12 O36,4.1326
mp-1111657,K2 Li1 Tm1 Cl6,5.0647
mp-22200,Li3 Mn3 Fe3 F18,2.4344
mp-765590,Li4 Fe4 P4 O16,3.6405
mp-26571,Li4 Cr4 P8 O28,2.6634
mp-1222351,Li2 Fe2 F12,1.2569
mp-1567478,Li4 V4 P8 O28,2.0391000000000004
mp-1238856,Li4 Cr8 S16,0.0
mp-758605,Li2 Mn2 F8,0.4745
mp-8491,Li2 In2 P4 O14,3.9726
mp-7800,Li4 Sm4 O8,3.373
mp-1235206,K2 Li1 S2 O4 F2,1.0342
mp-1222331,Li1 Y1 Mo2 O8,3.225
mp-504371,Li2 Ni12 P14 O48,0.3018
mp-767644,Li1 V1 P2 O8,0.4369
mp-1185369,Li1 Lu1 In2,0.0
mp-1235374,Sr1 Li1 Al2 B2 O7,0.0
mp-1111111,K2 Li1 Au1 F6,0.4498999999999999
mp-1176665,Li1 Mn2 Co1 O6,1.3976000000000002
mp-753908,Li4 Mn8 O12 F4,0.7647999999999999
mp-631545,Li1 B1 Br2,0.4841
mp-738389,Rb16 Li4 S16 O64,0.0
mp-35591,Li2 Er2 S4,1.9887
mp-772524,Li2 Ti4 P6 O24,2.7608
mp-1178395,Cs4 Li4 O4,1.6344000000000003
mp-1245530,Li4 Ru4 N8,0.0
mp-758531,Li4 Cu4 P4 O16,0.0
mp-557793,Rb16 Li4 Zr12 H8 F76,6.135400000000001
mp-1211661,K2 Li2 Lu4 Mo8 O32,3.1597000000000004
mp-25843,Li4 Mo8 P12 O48,0.7024999999999999
mp-1195726,Na4 Li4 B8 H40 N8,3.9081
mp-727221,Li2 Zn2 Cr6 S12 O48,0.0057999999999998
mp-758570,Li2 V4 C8 O24,0.8425
mp-1034028,K1 Li1 Mg14 O15,1.4657
mp-761124,K2 Li2 Mn2 P2 C2 O14,0.4788
mp-1212055,Li1 Mo3 O6,0.0
mp-1303460,Li4 Co4 C8 O24,0.5793
mp-1035484,Li1 Mg14 B1 O15,2.0691999999999995
mp-1096038,Li1 La2 Hg1,0.0
mp-859101,Li6 Mn6 P6 O24,3.154
mp-1277859,Li2 Mn6 O8,0.6650999999999998
mp-755629,Li2 V2 F8,2.0974000000000004
mp-861059,Li8 Mn8 P8 O32,3.538
mp-864824,Li1 Tb1 Au2,0.0
mp-754051,Li2 Fe2 F6,0.0108999999999999
mp-29431,Li2 Dy4 Br10,0.1202000000000005
mp-758140,Li2 Ti2 P8 O24,0.1975999999999995
mp-768092,Li4 V4 S4 O16 F12,1.1242
mp-1222405,Li1 Cd3,0.0
mp-760067,Ba4 Li2 V2 P4 O18,1.8934
mp-1235461,K2 Li1 H2 Se2 O6,0.2229000000000001
mp-1002572,Li4 Mn4 O8,0.5078
mp-765470,Li4 Mn4 P4 O16,3.3549
mp-8007,Li2 U2 O6,0.4431000000000002
mp-1040138,Li1 Mg30 Si1 O32,0.3139000000000003
mp-867222,Li1 Ca2 Ir1,0.0
mp-1176649,Li8 Mn8 P8 O32 F8,0.3740000000000001
mp-759018,Li4 Mn8 P12 O48,0.4957
mp-758552,Li4 Co4 P4 O16,2.2678000000000003
mp-26017,Li4 Co4 P4 O16,2.8088
mp-1097460,Li1 Sc1 Ag2,0.0
mp-1176608,Li1 Nb1 Co3 P6 O24,0.0761
mp-1176807,Li4 Cr4 P8 O28,1.8577
mp-753382,Li2 Mn2 P2 O8,3.3411
mp-570379,Cs2 Li1 Lu1 Cl6,5.3389
mp-1236197,Li1 Cr4 Hg2 O8,0.0
mp-554164,K4 Li4 Zn4 P8 O28,4.2904
mp-1176715,Li4 Fe4 S8,0.0
mp-11806,Li1 Mg1 Sn1 Pt1,0.0
mp-752660,Li4 Co4 Si4 O16,1.0892
mp-756100,Li2 Fe2 F8,3.1657
mp-1199729,Li18 Mn36 O72,0.0
mp-757563,Li24 Co24 P24 O96,2.9125
mp-777559,Li4 Fe4 F16,3.1787
mp-1306952,Li4 Nb4 Fe4 O16,1.3562999999999998
mp-1238802,Li4 Cr8 S16,0.0
mp-867272,Li1 Al1 Cu2,0.0
mp-1020026,Li2 Be2 B2 O6,6.0842
mp-758141,Li2 Fe2 Si6 O16,2.8971
mp-1222288,Li1 Zn3,0.0
mp-1185345,Li2 Er6,0.0
mp-758147,Li4 Cu4 P12 O36,0.5284
mp-753729,Li1 Mn1 V1 P2 H2 O10,0.0
mp-1235493,Li1 Lu1 Zn1 Fe1 O4,0.0
mp-1094593,Li2 Mg4,0.0
mp-1180222,Na5 Li1 N2,0.0
mp-1281247,Li1 Mn4 O8,0.1787999999999998
mp-1110749,Rb2 Li1 Mo1 I6,0.9751999999999996
mp-1235170,Li1 La4 Ho4 O12,0.0
mp-772499,Na8 Li4 Mn4 P4 C4 O28,3.4518
mp-765841,Li4 V8 O12 F4,0.6742000000000004
mp-1078834,Li1 Ru1 F6,0.9999
mp-1095149,Li2 La2 Bi4,0.0
mp-758620,Li2 Cu4 C6 O18,0.0
mp-776094,Li2 Fe2 F8,3.2552000000000003
mp-860939,Li6 Mn6 P6 O24,3.0958
mp-1192659,Li2 Ga2 H16 N8,2.8113
mp-672966,Li1 Cu1 P4 O12,0.4719
mp-777371,Li4 Cr8 P12 O48,0.2913000000000001
mp-1106183,Li4 Al4 S8,4.1061000000000005
mp-766050,Li4 V4 P8 O32,0.8655999999999999
mp-1302676,Li4 V4 P4 O20,1.5024
mp-780337,Li4 Cr16 P12 O48,1.0675
mp-24610,Li4 P4 H8 O16,5.5778
mp-774479,Li1 Ca2 Ta3 O10,2.1736
mp-766426,Li4 Co4 P8 O28,0.6542999999999999
mp-22983,Li4 Al4 Cl16,5.5616
mp-1517265,Ba1 Li1 Zr1 Bi1 O6,1.0751
mp-1113711,Rb2 Li1 Mn1 F6,0.0
mp-753940,K1 Li1 Mn1 S2,0.5546000000000002
mp-1236035,Ba2 Li1 Ni2 O6,0.0
