material_id,formula_pretty,composition,E_f,E_g
mp-1281785,LiNiO2,Li4 Ni4 O8,-1.4722172070833324,0.0
mp-705301,LiCoP2O7,Li4 Co4 P8 O28,-2.2978030093290043,1.0792000000000002
mp-1663944,LiMnPO4,Li4 Mn4 P4 O16,-2.6078334408438897,3.288
mp-1185263,LiPaO3,Li1 Pa1 O3,-3.3369088151666673,3.1954
mp-775867,LiSbPO5,Li8 Sb8 P8 O40,-2.327339413809524,1.5947999999999998
mp-753040,LiMnP3HO10,Li1 Mn1 P3 H1 O10,-2.364247633215183,0.9547999999999999
mp-776036,LiV6O15,Li4 V24 O60,-2.3245496219696973,0.6382000000000001
mp-17467,LiTiMnF6,Li3 Ti3 Mn3 F18,-3.300844682177523,0.09660000000000002
mp-849312,LiMnP3HO10,Li4 Mn4 P12 H4 O40,-2.425448556496433,3.7843
mp-1028194,LiCaMg14,Li1 Ca1 Mg14,0.03488891479166689,0.0
mp-6248,LiGd(PO3)4,Li2 Gd2 P8 O24,-2.9166314967724865,3.4298
mp-759608,LiFe2(PO4)3,Li4 Fe8 P12 O48,-2.245083395264549,0.0
mp-773843,LiTi2(PO4)3,Li4 Ti8 P12 O48,-3.0071348707738093,2.2960000000000003
mp-1185484,LiPmIn2,Li1 Pm1 In2,-0.5101100185416669,0.0
mp-1101513,LiV4P7O24,Li2 V8 P14 O48,-2.671406535023148,1.8439999999999999
mp-763253,LiCoSiO4,Li2 Co2 Si2 O8,-2.303212489047619,1.0875
mp-867269,LiHo2Os,Li1 Ho2 Os1,-0.29926417916666637,0.0
mp-780198,LiMn2(BO3)2,Li2 Mn4 B4 O12,-2.411055787957156,0.006799999999999917
mp-1235032,Sr4LiMn2(GaO5)2,Sr4 Li1 Mn2 Ga2 O10,-2.520769622062916,0.48740000000000006
mp-1236779,LiHf8(N2O)4,Li1 Hf8 N8 O4,-2.3025964420634915,0.0
mp-631330,LiTaW2,Li1 Ta1 W2,0.5669824710833282,0.0
mp-1218778,Sr2LiSiN3,Sr8 Li4 Si4 N12,-0.9899828533333326,0.0
mp-1661345,LiFe(PO3)3,Li2 Fe2 P6 O18,-2.5196182064115646,4.1654
mp-761201,LiFe4(BO3)4,Li2 Fe8 B8 O24,-2.2292159028571423,1.4752000000000003
mp-1235162,Ba2LiMn2O6,Ba2 Li1 Mn2 O6,-2.363498923108672,0.7942
mp-1096370,LiGe2Ir,Li1 Ge2 Ir1,1.8578412991666662,0.04509999999999992
mp-1235299,LiTiFe5O8,Li1 Ti1 Fe5 O8,-1.8556685211111101,1.0223999999999998
mp-774422,LiV(Si3O7)2,Li4 V4 Si24 O56,-3.041707291856061,1.9559000000000002
mp-1204749,LiAl(H3C)4,Li4 Al4 H48 C16,-0.19945530018518554,4.4613
mp-11512,LiAl2Ir,Li1 Al2 Ir1,-0.8143778916666697,0.0
mp-758909,LiFePO4,Li4 Fe4 P4 O16,-2.3922541647108835,3.6487000000000003
mp-26710,LiSnP2O7,Li2 Sn2 P4 O14,-2.4491186959199127,0.05900000000000016
mp-758703,LiCoSiO4,Li4 Co4 Si4 O16,-2.307019785119048,1.0909
mp-1198930,LiGa(SeO3)2,Li4 Ga4 Se8 O24,-1.717476522302082,4.2558
mp-26643,LiFeP2O7,Li4 Fe4 P8 O28,-2.4951964661471853,2.448
mp-1206881,LiTaS2,Li2 Ta2 S4,-1.5226124901666687,0.8540999999999999
mp-555206,KLiCrO4,K8 Li8 Cr8 O32,-2.081945470619046,2.8533999999999997
mp-1236223,K4Li(CO3)2,K4 Li1 C2 O6,-1.8742581509487184,0.0
mp-1235279,Rb12Li(ClO)4,Rb12 Li1 Cl4 O4,-1.3835725325396833,0.0
mp-1235609,LiLa4Ga2(FeO6)2,Li1 La4 Ga2 Fe2 O12,-2.817649129920635,1.8708
mp-776488,LiMnOF2,Li4 Mn4 O4 F8,-2.674849041752874,0.9907999999999999
mp-26435,LiCrP2O7,Li2 Cr2 P4 O14,-2.6476190168290046,2.2271
mp-777361,LiMn2F5,Li4 Mn8 F20,-2.948885098024425,3.2776
mp-8892,LiInF4,Li4 In4 F16,-2.935432232777778,4.0149
mp-1021289,CsLiMg6,Cs2 Li2 Mg12,0.28444657984195487,0.0
mp-26741,LiCu4(PO4)3,Li2 Cu8 P6 O24,-1.9580409686666669,0.05600000000000005
mp-1235041,Rb3LiTbV2O8,Rb3 Li1 Tb1 V2 O8,-2.5427815575,0.07390000000000008
mp-1218614,Sr4Li(RuO4)3,Sr4 Li1 Ru3 O12,-2.252143829166667,0.0
mp-554442,LiAuF4,Li4 Au4 F16,-2.0206997988888884,1.9808999999999999
mp-1037085,LiMg30CoO32,Li1 Mg30 Co1 O32,-2.9406890259895833,1.8732000000000002
mp-1176651,LiMn6O12,Li3 Mn18 O36,-1.8666378844343618,0.37529999999999974
mp-740710,Na2LiP3H8O13,Na4 Li2 P6 H16 O26,-2.028938761019279,5.0012
mp-35530,LiMn4O8,Li4 Mn16 O32,-1.9060827473121134,0.0
mp-1096048,LiOs2W,Li1 Os2 W1,3.889125453333328,0.29389999999999983
mp-882858,LiFe4(BO3)4,Li2 Fe8 B8 O24,-2.2227779016666664,1.4266
mp-757189,LiVPO4,Li8 V8 P8 O32,-2.564841112746598,0.6118999999999994
mp-768736,LiBiB2O5,Li4 Bi4 B8 O20,-2.40451372574074,2.5080999999999998
mp-752699,LiAgF3,Li2 Ag2 F6,-2.014750731333335,0.0
mp-1147649,LiNiH2,Li1 Ni1 H2,-0.24635580604166574,0.0
mp-776089,LiFe2OF5,Li3 Fe6 O3 F15,-2.5341048444444434,1.9051
mp-1093727,LiMg2Au,Li1 Mg2 Au1,0.781362491666667,1.1865
mp-849502,LiVF3,Li18 V18 F54,-2.9720339087222225,1.355
mp-1209607,SrLiCuN,Sr8 Li8 Cu8 N8,0.1453038354166658,0.0
mp-1180582,LiAl2BrO6,Li2 Al4 Br2 O12,-1.6322491913333323,0.9918000000000001
mp-1190940,LiC2N3,Li4 C8 N12,-0.26283729097222164,4.6716
mp-29520,LiAuI4,Li2 Au2 I8,-0.7297738047222211,0.7517999999999998
mp-770650,LiVSiCO7,Li2 V2 Si2 C2 O14,-2.3821034116666664,1.8349
mp-757938,LiCoPO4,Li8 Co8 P8 O32,-2.3331615573894555,2.5837999999999997
mp-1235250,Ba2Li(NiO3)2,Ba2 Li1 Ni2 O6,-1.7251451053030293,0.0
mp-757568,LiMnPO4,Li12 Mn12 P12 O48,-2.574074668105792,3.6094000000000004
mp-11172,LiIrF6,Li1 Ir1 F6,-2.0264225764583337,0.0
mp-1520473,LiPrMn4O12,Li1 Pr1 Mn4 O12,-1.636256156484674,0.0
mp-753343,LiVSiO4,Li4 V4 Si4 O16,-2.7529054104761905,2.3507
mp-1275173,LiV2CrO6,Li1 V2 Cr1 O6,-2.4109253278333327,1.0461999999999998
mp-1113840,Na2LiLaCl6,Na2 Li1 La1 Cl6,-2.1249862876666668,3.9591
mp-752639,LiV(OF)2,Li4 V4 O8 F8,-2.6142930705555556,2.4689
mp-26139,LiCrP2O7,Li4 Cr4 P8 O28,-2.6590881677380938,1.0994999999999995
